,NSE
83262,0.1310451030731201
70209,0.2200064063072204
79261,-0.0478087663650512
83340,0.4406860470771789
70410,0.3757582902908325
72588,0.1792483925819397
5458,0.5552876889705658
11676,0.2574569582939148
4158,0.0905387997627258
4107,0.1159373521804809
10220,0.4329835772514343
7020,0.4462053775787353
73110,0.2734854221343994
75387,-3.639260292053223
71104,0.1133186221122741
70586,0.5045277774333954
6077,0.2379345893859863
3407,0.3204554915428161
84347,0.6136839389801025
78504,0.5018933713436127
5635,0.0425835847854614
48069,0.2092669606208801
83266,-0.0125534534454345
9404,0.4812607765197754
78261,-138.03309631347656
72102,0.2421055436134338
4032,0.4178983569145202
10511,0.4995779991149902
75624,-1.091191291809082
78013,-0.2019284963607788
10688,0.2192040085792541
4102,-0.0309162139892578
77130,0.0792897939682006
80118,-0.0851410627365112
78050,-14.513094902038574
8059,-0.1467818021774292
3637,0.5375533998012543
79051,-0.1262215375900268
1596,0.2370281219482422
10221,0.399438202381134
10357,0.3537648320198059
6295,0.6452748775482178
10209,0.2932548522949219
72738,0.57520991563797
80172,-0.3706393241882324
72076,0.1279500722885131
12476,0.182774007320404
72761,0.1038656234741211
72007,0.2460336089134216
9283,0.4633313417434692
9397,0.3003909587860107
76416,0.2255086302757263
72198,0.3262647986412048
72649,0.2249292731285095
9294,0.1670848727226257
4148,0.4264284968376159
10246,0.52186518907547
2193,0.1829681396484375
76648,0.5811074376106262
77245,-0.3112313747406006
76466,0.3726565837860107
75227,-0.1310927867889404
84448,0.6287282109260559
83063,0.4119583964347839
76499,-0.0440796613693237
7167,0.482479453086853
8288,0.5234034657478333
75222,0.0749226808547973
80424,0.2549788951873779
80405,0.351203978061676
2034,0.6867784261703491
76520,0.0913607478141784
3229,0.7636751681566238
4173,0.3016400337219238
4090,0.2008967995643615
72508,0.0066275596618652
72104,0.4091289043426513
75236,-0.0403034687042236
49052,0.469554603099823
48002,0.1365272402763366
4235,-0.3574439287185669
12383,0.7237716019153595
6411,0.3181596994400024
78501,-0.0064589977264404
11415,0.4881131052970886
11335,0.4162692427635193
9286,0.184312641620636
3329,0.7465228736400604
72748,0.3985027074813843
76651,0.1574315428733825
83061,0.6583466529846191
84398,0.6794783771038055
8161,0.5859816670417786
78345,0.0233185291290283
12010,0.0433861017227172
77327,0.2511200904846191
75301,-0.0584104061126709
72623,0.2596583366394043
10219,0.6418463587760925
5459,0.632346510887146
6067,0.5171087980270386
11048,0.2553786039352417
72566,0.049744963645935
8281,0.7115548551082611
70522,0.2019870281219482
10380,0.2875725626945495
84026,-11.960956573486328
6084,0.4977434873580932
49090,-0.0113075971603393
10042,0.8054388612508774
78275,-0.003969669342041
84213,0.8747788816690445
4068,-0.3779387474060058
75328,-3.859974384307861
78141,-0.7880580425262451
83348,0.2921290993690491
10571,0.5742716491222382
9370,0.2804762721061706
7056,0.4425312876701355
1801,0.5794225335121155
8375,0.4394424557685852
12059,0.2577159404754638
10177,0.6493917107582092
10148,0.5961808860301971
10205,0.628980278968811
8188,-0.0261499881744384
78078,0.3452517390251159
75303,-0.1404695510864257
5461,0.3672189116477966
8162,0.4422568678855896
4175,0.5941736102104187
82026,0.44113689661026
10461,0.6184579432010651
1608,0.2557260990142822
75290,-0.0340733528137207
78138,-3.1664857864379883
75259,-0.0681298971176147
8356,0.1955006122589111
49126,0.1334148049354553
3219,0.3609923124313354
48099,0.2551138401031494
49114,0.3845754265785217
19159,0.6670231521129608
7036,0.3477240204811096
78144,0.1069322824478149
76007,0.5782902240753174
10396,0.3528538346290588
10059,0.2580884099006653
19128,-40.943946838378906
3603,0.4503644704818725
9417,0.2560737729072571
4160,0.0620679855346679
10653,0.62822625041008
9372,0.400420069694519
76417,0.4154437780380249
72721,-0.0235223770141601
10591,0.3030179738998413
10058,0.2841764688491821
78087,-1.5493183135986328
7176,0.0876572728157043
84029,-0.3775690793991089
78410,0.0794284343719482
10455,0.7000331580638885
76486,0.3350213170051574
3003,0.3575319051742553
78515,0.0112408995628356
84803,-0.0923361778259277
3234,0.3648968935012817
75217,-0.0355548858642578
4197,-0.3520056009292602
11623,-0.7099086046218872
11370,0.3503193259239197
70129,0.0217005610466003
78503,0.5154776871204376
76688,0.310152530670166
75615,-0.0510884523391723
10713,0.0469897389411926
19108,0.5466538369655609
78394,-0.3396083116531372
70328,0.297098159790039
49095,0.2716068029403686
7142,0.474151074886322
6491,0.7864661365747452
77210,0.2725353837013244
76345,0.0273665785789489
10204,0.3910471796989441
80113,-0.0560004711151123
10400,0.254386842250824
1556,0.3381615281105041
11385,0.4189384579658508
5453,0.5831876695156097
49047,0.4924537539482116
7152,0.4877365827560425
77285,-0.5117450952529907
75382,-0.1799166202545166
75257,0.1159125566482544
3178,0.2176799774169922
3222,0.7089064121246338
19008,-0.2106275558471679
70414,0.5387143194675446
75491,-0.3760926723480224
12279,0.3238294124603271
8306,0.4048319458961487
5328,0.212616741657257
11350,0.2109376788139343
49094,-0.0128728151321411
82060,0.4808725118637085
75727,0.3233377933502197
11538,0.3830455541610718
72569,0.4073541760444641
7072,0.3688567280769348
72603,0.0810999870300293
75543,-0.6061124801635742
83459,0.1303485631942749
5190,0.2021220922470092
70512,0.3761289119720459
10120,0.4961926341056824
80148,-0.0045138597488403
75208,0.4761693477630615
84031,-6.85814094543457
10264,0.4396886229515075
80592,-0.1032829284667968
83288,-0.2020926475524902
76644,-0.0455111265182495
75033,-0.120306372642517
9329,0.2818223237991333
7168,0.2929503917694092
84302,0.6586490571498871
78163,0.2589455842971802
12189,0.318309485912323
10112,0.3105995059013366
9215,0.4757486581802368
77260,-0.4748749732971191
11524,0.834306389093399
77223,-0.0807645320892334
49123,0.0518384575843811
75300,-0.2748212814331054
49014,0.5157893002033234
10584,-0.5119407176971436
75108,-0.0525897741317749
3225,0.827791228890419
3210,0.4112562537193298
80174,-3.8059144020080566
78507,0.2355587482452392
9547,0.1905690431594848
78611,-0.8134020566940308
9380,0.5583654344081879
5135,0.2411909103393554
3669,0.0943171381950378
7148,0.353756844997406
84312,0.6150752007961273
9189,0.0497553944587707
77329,-0.3256118297576904
10620,0.4744638204574585
5664,-0.1588673591613769
77259,0.0330047607421875
2026,0.6261981725692749
10651,0.3388398885726928
9022,0.2580394148826599
79244,-0.1948442459106445
75552,0.1396978497505188
3334,0.5349127650260925
11374,-0.1677168607711792
84295,-3.2379064559936523
9213,0.4157103896141052
75210,0.5328249633312225
6134,0.4642092585563659
10567,0.4177280068397522
4034,0.2873901724815368
9166,0.364711582660675
5589,0.1260414123535156
11308,0.6144590675830841
9546,0.3547500371932983
6443,0.3482120633125305
4033,0.6672311425209045
82046,0.2673114538192749
3291,0.474604845046997
2164,0.2075688242912292
75121,-0.0287802219390869
9216,0.666224479675293
78590,-1.1728334426879885
49058,0.2989015579223633
83260,-3.57025146484375
78016,-0.1379152536392212
76461,0.1827573180198669
10266,0.3878576159477234
11622,0.6744446754455566
8230,0.3904651999473572
76690,0.3130914568901062
8334,0.2523345947265625
75297,-0.3194365501403808
5652,0.1623456478118896
78252,0.0846399068832397
9520,0.268841803073883
78130,0.1243404746055603
76519,-0.0805287361145019
72179,0.1373733878135681
72668,0.294143795967102
10594,0.755737692117691
76421,0.1622402071952819
72004,0.047240674495697
75699,-0.2399165630340576
48123,0.1175763607025146
10411,0.2495370507240295
72055,0.3809347748756408
4145,0.3479810953140259
70378,0.3655250668525696
4043,0.4481633901596069
72559,0.2603728771209717
72661,0.0507035851478576
72188,0.2770772576332092
10430,0.3969929218292236
7087,0.2325795292854309
8139,-1.3762834072113037
7080,0.6488408744335175
7066,0.3006907105445862
10331,0.8457550257444382
72008,0.4083549380302429
8321,-0.1026993989944458
84037,-7.605068206787109
75547,-0.2954152822494507
70212,0.5070211887359619
7174,0.3499243259429931
84200,0.8066635280847549
72113,0.2959163188934326
7029,0.268688440322876
8290,0.2952383160591125
10279,0.2845365405082702
7016,0.4683195352554321
70242,0.3403836488723755
4005,0.340817391872406
7015,0.6117343902587891
77266,-1.6336979866027832
75643,-1.9676306247711184
6143,0.467459499835968
11620,-0.1068376302719116
49110,0.5016806125640869
76462,0.3443337678909302
72269,0.3812870979309082
5199,0.1470391154289245
70517,0.1420697569847107
79006,0.2220423817634582
19197,-11.423752784729004
2270,0.6281664371490479
3036,0.8135911822319031
3293,0.0840599536895752
75503,-0.8868714570999146
7076,0.6987564563751221
70331,0.0595169067382812
10407,0.4850621223449707
76408,0.2471862435340881
7172,0.2954785227775574
77209,-0.0588215589523315
11639,0.3359804153442383
74425,0.226879596710205
77362,-0.9816579818725586
76145,0.1504577994346618
78225,-2.6534788608551025
9335,0.727016419172287
10117,0.4095789790153503
75645,-1.359172821044922
8249,0.0836642384529113
6562,0.3072037100791931
78343,-0.1235705614089965
78196,0.3375884294509887
11571,0.3653132319450378
72156,0.2684730887413025
7034,0.273311972618103
72096,0.2322352528572082
83314,0.1275379061698913
72625,0.3657976984977722
8091,0.1719434261322021
6141,0.5020281076431274
72191,-0.2676036357879638
3068,-0.4729924201965332
77288,-3.325668811798096
11309,0.6991051137447357
76456,0.3556246161460876
2040,0.5516533255577087
77146,-0.827142596244812
75656,-0.0907833576202392
78231,0.0034946799278259
72682,-0.2299163341522216
10476,0.6042009890079498
80165,-3.3952536582946777
9298,0.6058527529239655
5347,0.7380097806453705
3247,0.2732198238372803
9326,0.4631281495094299
78512,-0.5509181022644043
10583,0.3267444968223572
10108,0.2200016975402832
11327,0.4265773296356201
9568,0.5739500224590302
3271,0.711217612028122
72246,0.1261205673217773
75428,0.0775609016418457
9324,0.425357460975647
8256,0.5218702256679535
70147,0.2156348228454589
72518,0.076061725616455
10122,0.4295763969421386
72696,0.0917615890502929
71193,0.6273427903652191
70217,0.2435786128044128
4159,-0.1412050724029541
2103,0.7960357964038849
11379,0.0425186157226562
11487,0.0999895930290222
4141,0.2881824970245361
70334,0.5293942093849182
10232,0.4673932790756225
