gauge_id,geometry,NSE_blind_tft,NSE_blind_lstm
49001,POINT (31.41892 65.79876),-15249494.230054818,-2.0148091316223145
49048,POINT (30.3404 65.20325),0.9603576467195374,0.5356984734535217
49055,POINT (32.38368 64.15004),-168160.90888910234,-0.5168315172195435
49103,POINT (33.06936 63.5483),-30801.842107009183,0.6469829082489014
71018,POINT (31.15858 69.51481),0.8176516058770629,0.4048888087272644
71044,POINT (32.77889 69.26976999999999),0.885718193447506,0.611594021320343
71067,POINT (31.72162 68.56722000000001),0.9359118535154978,0.6488927900791168
71068,POINT (31.92261 68.68371999999999),0.8362882436444158,0.5827121436595917
71085,POINT (28.93065 68.5459),0.9021386736179386,0.8189507275819778
71092,POINT (30.33265119498551 68.71306389662344),-31896.343311190813,0.6254776418209076
71109,POINT (33.25202 68.61451),0.7555052205546426,0.2911767959594726
71126,POINT (34.35702245978716 68.89289744602259),0.6940875103710908,0.5240118205547333
71139,POINT (35.11967 68.10493),0.7920863468726238,0.2905360460281372
71140,POINT (35.1437 68.3143),-23807.542793965804,0.7173854112625122
71153,POINT (35.00062 67.96575),0.9177109719666152,0.0654405355453491
71165,POINT (36.99468 67.34522),0.872380123187999,0.2000561952590942
71239,POINT (31.59567568160679 67.63500062464195),-77179.13177702864,0.3539031147956848
71241,POINT (31.0805 67.61147),0.900635965978535,-0.7264745235443115
71245,POINT (30.50988 67.54836),0.8831382959775719,-0.0485810041427612
71258,POINT (32.87936 67.96644999999999),0.9644281512615808,0.2479208707809448
71260,POINT (33.32794 68.1087),0.744600500596397,0.4945270419120788
9138,POINT (93.723941862 51.126441862),0.8576485337502088,-0.9466067552566528
9235,POINT (90.90333333300001 53.059166667),0.7721335647110266,0.5208863019943237
9237,POINT (90.24296 53.81423),-3575.3629376147765,-0.0674959421157836
9297,POINT (90.84939 54.22404),0.8627771868495089,-0.1190038919448852
9301,POINT (90.36445999999999 54.45341),0.7807098165542935,-0.0642106533050537
9312,POINT (94.06 55.1),0.7442932480289561,-0.1587228775024414
9316,POINT (92.490833333 55.8925),-896.9552760673197,-0.5496523380279541
9371,POINT (92.58291675 58.66928732),0.9575187600808068,0.2648578882217407
9384,POINT (88.33 60.35),0.9669975675209924,0.6969892978668213
