,NSE,KGE,r,alpha,beta,RMSE,delta
72083,0.7840011566877365,0.6149285946804368,0.9146441,1.3639648,1.0923254,0.29656488,-1.0647429
72096,0.6734695732593536,0.7509887597740411,0.85484356,1.0700551,1.1898117,0.6270675,10.112066
72098,0.7054109573364258,0.7389318080208789,0.8568448,1.1220353,1.1810265,0.9181858,8.89005
72102,0.6934774219989777,0.6507990322339627,0.83956295,1.3000935,1.078391,0.93316966,-18.06951
72104,-0.17941582202911377,0.4698622170936223,0.49239293,0.89020455,0.8935759,0.9192503,-35.020504
72106,0.7774356156587601,0.7969695256823602,0.8947688,1.1119583,1.1327144,0.69660825,8.172633
72109,0.6214622557163239,0.7788205700003907,0.79752207,1.0890094,1.0005944,0.86825097,-24.772036
72110,0.8013252019882202,0.8588405539156238,0.89971924,1.0663297,0.9260397,0.6315712,-47.14739
72113,0.7041360139846802,0.7654761515054755,0.83969736,1.1691785,0.97386307,0.7811901,-60.753563
72144,0.7371535003185272,0.64158411180028,0.86884594,1.323293,1.082111,0.71676767,-110.620834
72148,0.66236811876297,0.7586804484166297,0.8164274,1.1520448,0.96233547,0.6377925,-31.479248
72155,0.7681790888309479,0.8400328160135686,0.8812086,1.0744977,1.0769948,0.57711434,-5.39875
72156,0.6130215525627136,0.6132855126177948,0.79213476,1.2954301,1.1380624,0.8906723,-19.75738
72162,0.6750036478042603,0.8291517625106697,0.83280706,1.0327123,0.98713356,0.6909025,-28.378542
72172,0.4565810561180115,0.7263142470262148,0.7273426,1.0049499,0.9768195,0.95149136,-4.630582
72179,0.656710296869278,0.7002260875118643,0.86157423,1.1459645,1.2222545,0.62563294,17.598255
72188,0.7420109212398529,0.8365647541037626,0.88530785,0.9544257,0.8928563,0.5147305,-28.995092
72192,0.6000714302062988,0.3951939847607133,0.78922826,1.5668876,1.0020049,0.89059985,-46.378574
72198,0.9017024859786034,0.9095946612416059,0.95314914,0.998304,0.9227003,0.31690586,-210.40205
72246,0.6975833177566528,0.1987907171899984,0.90935546,1.7782336,1.1675478,0.56935596,-329.97702
72269,0.6792098581790924,0.8052334936159413,0.8288922,1.0921106,0.98689526,0.28178257,-12.111112
72281,0.801384449005127,0.8786737190788013,0.9015062,1.0260369,0.93411285,0.3482522,-20.918753
72285,0.5376332104206085,0.716305008376882,0.7480216,1.1232713,1.0423546,0.59590775,-2.462645
72327,0.6330342292785645,0.4079943267900432,0.8241927,1.5457673,1.1473111,0.7153896,-16.081203
72423,0.6666583120822906,0.19883862012750253,0.89215034,1.7673217,1.2035815,0.6827514,-22.483374
72450,0.20426756143569946,0.2342270309994713,0.53608805,1.5710795,1.2122785,0.20922314,-13.61074
72454,0.39648163318634033,0.4891247764416209,0.71819437,1.3715398,0.7913442,0.21754567,-87.134735
72459,0.675871729850769,0.6705173704775023,0.82450634,1.2757416,0.95843846,0.2773303,-34.24816
72481,0.6751929521560669,0.3562922131663885,0.8650336,1.5952564,1.2044836,0.7432281,-19.221552
72508,0.545628547668457,0.261930814888658,0.7658969,1.6789248,0.8296974,0.6958584,-163.7927
72518,0.5876720249652863,0.10199005471073219,0.8511682,1.8286984,1.3122978,0.5053988,-32.888073
72519,0.7717792987823486,0.7701027719152921,0.8805712,1.1833825,0.92957026,0.43688875,-116.405136
72559,0.725290060043335,0.5614845005381212,0.90301496,1.281112,1.3222822,0.52908134,20.518456
72566,0.6381753385066986,0.4316270045606858,0.83742213,1.4046661,1.364502,0.59005594,-2.4661996
72569,0.8293561190366745,0.6351193567334614,0.93624336,1.3174149,1.1682878,0.2786788,-13.898365
72577,0.8588795214891434,0.678157772537735,0.96155477,1.1628934,1.2749002,0.26920387,19.343456
72585,0.5030351281166077,0.468288186343393,0.8355294,1.4608248,1.2081041,0.39415622,13.05488
72588,0.46117883920669556,0.7275378647724803,0.77045584,0.8976366,1.105199,0.5923899,-4.221545
72592,0.552052915096283,0.7248647376998567,0.8687387,0.7582401,0.9953054,0.35593736,1.8322045
72603,0.7604502290487289,0.7778427726796877,0.8862569,1.0812083,0.82731086,0.38312995,-99.37811
72610,0.6688024997711182,0.7656750410288379,0.85026926,0.9996212,1.1802464,0.49157634,15.408829
72623,0.7884284853935242,0.8209454776179497,0.9091342,0.9457652,0.8555614,0.34537837,-70.6452
72625,0.8755514547228813,0.9046810005864389,0.9454786,0.93133324,0.96261007,0.20499712,-7.067855
72649,0.7076233625411987,0.8306532271801507,0.8795295,0.89530957,1.0566136,0.22564171,4.373664
72654,0.7080863118171692,0.670891623500319,0.8663494,1.2701882,1.1320915,0.22269352,5.7365246
72660,0.7908768206834793,0.7461861878808727,0.89414585,1.2260108,1.0462111,0.23494616,-14.277191
72661,0.8089513182640076,0.7673821899188308,0.90272856,1.2112674,0.9960734,0.23781003,-23.770096
72668,0.8076285123825073,0.7528864018786493,0.91592216,1.2131169,0.9073866,0.24769427,-24.240778
72682,0.6668930649757385,0.8220077776445992,0.82832915,1.037297,1.0286231,0.3506864,-42.194927
72696,0.8215220421552658,0.7840408582198202,0.91513985,1.1651269,0.88968134,0.20355482,-95.324875
72716,0.4888743758201599,0.6246844523187126,0.8037529,1.0704861,0.68794143,0.3903065,-141.62576
72721,0.7630576342344284,0.7968662132219604,0.87544906,1.1380105,0.9181251,0.49575263,-106.38464
72731,0.6335647106170654,0.7092341046700865,0.79670036,1.2073343,1.0150518,0.8055893,-24.562376
72738,0.653608113527298,0.8345909629988487,0.85565907,0.96579516,0.92681617,0.2572116,-9.720096
72739,0.7354721426963806,0.8295655946632823,0.8600579,1.0907539,1.0350403,0.9168858,-21.476192
72748,0.6567298173904419,0.80995436325297,0.84038824,0.9761093,0.8996473,0.7051563,-32.63752
72752,0.7756747752428055,0.6484922665566664,0.89286596,1.3210912,1.0947652,0.53498423,-19.140059
72753,0.6272743940353394,0.7812481181135552,0.8110585,1.0512427,0.9023901,0.28787133,-103.99517
72760,0.7438777685165405,0.4368705094973323,0.92832303,1.4523598,1.3276398,0.35026354,9.407095
72761,0.6555221080780029,0.5501081806768613,0.81696343,1.4102887,0.9762628,0.6770675,-89.187584
73110,0.7200891077518463,0.8372566207308786,0.8782565,0.96426105,0.89808506,0.20723279,-31.253164
74425,0.6249348521232605,0.6529957582076322,0.83116156,1.1139816,0.71908414,0.21755698,-173.22487
74438,-0.5349792242050171,0.4359046370108298,0.68765956,0.8506772,0.5546353,0.5522284,-133.33739
75006,0.5995973646640778,0.7716480195500625,0.7945779,1.0708853,0.92984545,0.29391465,-21.101496
75033,0.486733615398407,0.6606861935667148,0.8398678,0.8414829,0.7462997,0.37185946,-41.67077
75074,0.3290354609489441,0.6681423472838195,0.6869663,0.94961715,0.90201545,0.3522731,-26.761831
75079,0.5991756021976471,0.13162173390336873,0.8636819,1.8067913,1.2908367,0.37450227,5.9995494
75106,0.4920164942741394,0.661716602946864,0.73461413,1.0872917,0.80924845,0.78577554,-161.57587
75108,0.5178661048412323,0.742479292130457,0.7612677,1.0020589,1.096538,0.58515346,-11.352673
75110,0.49097394943237305,0.16932523854990622,0.74108684,1.6050547,1.5068464,1.2207019,-24.352306
75121,0.3827899098396301,0.07301610915576207,0.64557666,1.7763414,1.3619077,1.1967885,-241.89674
75202,0.5575650632381439,0.5833028205512498,0.78995454,1.2301269,1.2766931,0.7323921,1.9371455
75203,0.6614313125610352,0.3793005382221941,0.84791636,1.585398,1.1394547,0.71019393,-18.622448
75208,0.7159581482410431,0.8165212310736681,0.8818434,0.93558234,0.87528497,0.40160605,-35.103664
75209,0.15376293659210205,0.5431603588568032,0.8700091,0.6902746,0.6903631,0.87949544,-70.01891
75210,0.7651565968990326,0.8578507479429759,0.87707156,1.0674082,0.9765236,0.6431572,-14.920138
75217,0.6616646945476532,0.4622620103484022,0.83102506,1.5069267,0.9397092,1.1333668,-111.03564
75219,0.8199441432952881,0.8806596569269145,0.9088076,1.0302006,1.0708095,0.48043576,-5.514353
75222,0.4640907049179077,0.03956005724478984,0.77252537,1.4539974,1.8152218,0.63126117,26.87041
75225,0.4349924325942993,0.7164115396950468,0.792607,0.81631434,1.0605817,0.2902687,0.22687687
75227,0.24053728580474854,0.39257874246804647,0.6613929,1.0607923,1.5006098,0.71258837,14.416797
75235,0.015855014324188232,0.5791488815162341,0.724101,0.71312463,0.8632596,0.38205945,-21.307253
75236,0.5641150772571564,0.4577851947477609,0.7555692,1.4834603,1.0227293,1.1096556,-64.581894
75238,0.6651495695114136,0.17630890154430445,0.87906295,1.8147624,1.0018874,1.40108,-106.12603
75254,0.6908383667469025,0.7308829909623854,0.83719504,1.1614562,1.1408914,0.531266,-3.2532487
75257,0.7797998487949371,0.8033838224529773,0.88365346,1.1547909,1.0340762,0.3890973,-11.162843
75259,0.6381538212299347,0.34570783611026046,0.83977044,1.5243508,1.3570448,0.9081967,7.6043196
75266,0.5704894661903381,0.7087216165544203,0.8304937,0.86776114,0.80347115,0.5012209,-57.466385
75273,0.6326127350330353,0.8027248368777394,0.84080803,0.9023723,1.0635943,0.4800095,-11.349893
75274,0.504082441329956,0.7241754786108918,0.83888227,0.77860844,1.0332569,0.42059368,3.5576303
75280,0.7061361372470856,0.7769881825644851,0.9081185,0.79925334,0.96849066,0.388222,0.7680917
75286,0.8576172143220901,0.9273571693598841,0.9286016,1.0036649,0.98712283,0.47885525,-23.342747
75289,0.7925262749195099,0.6041295693377424,0.9105395,1.3287704,1.2015446,0.6740821,14.642348
75290,0.7497927248477936,0.48152608495637417,0.8997552,1.372837,1.3460618,0.7647813,9.489909
75291,0.7451814413070679,0.4768701177715523,0.8967895,1.4068303,1.3122524,0.7712992,-6.1423054
75296,0.7899414002895355,0.6413267149302533,0.90409064,1.3117049,1.1492916,0.5068616,-278.0275
75297,-3.471855640411377,0.22932542981770687,0.50645024,0.4108937,1.0574604,0.53101224,12.609233
75299,0.7864024192094803,0.8304658739976558,0.9222812,0.851378,1.0247612,0.2308985,8.986127
75300,0.3463423252105713,0.43557708088852076,0.5998139,1.3979081,0.990333,0.3736093,-9.91019
75301,0.27269482612609863,0.6185315055099608,0.8389917,0.6754544,0.88056517,0.4164747,-3.3973439
75303,0.6119255125522614,0.37247605104466663,0.8015418,1.5952466,1.009066,0.45596597,-12.826303
75359,-1.2248592376708984,0.529702474781959,0.7179258,0.7488018,0.7197976,0.11207841,-42.052563
75361,0.049286723136901855,-0.024277577485393387,0.42326772,1.8234123,1.1962565,0.16634627,-23.094162
75367,-0.25275540351867676,0.5034327842941309,0.5946572,0.81849694,0.77789,0.1784074,-41.51331
75382,0.2803381681442261,0.4242749454607452,0.68672496,1.2445582,0.58345544,0.39522806,-110.7716
75387,-3.338623523712158,0.13068041896771254,0.548554,0.7052893,0.3180479,0.21004404,-322.2246
75388,-0.9209723472595215,0.28105468403070555,0.5532343,0.6304847,0.5748633,0.72477794,-88.7162
75389,0.46320641040802,0.6544089792602837,0.76765347,0.9774208,0.7451698,0.37085396,-47.085445
75394,-1.917074203491211,0.3280359726790233,0.5841727,0.48326182,0.89227355,0.163903,-9.825996
