Model,NSE,KGE,r,beta,NSE>0.5
LSTM-static,0.70780347661985,0.6863693705232798,0.8755500345093924,1.0144034924165146,165.0
LSTM,0.4784646890359489,0.4373768902814916,0.7724847179747438,1.1038484711429548,114.0
HBV,0.5341444702575426,0.6045745144901506,0.817864624838974,-0.4440026364192992,130.0
GR4J,0.6457965709808797,0.6376414195278787,0.8472209292293716,-0.9432683020596916,146.0
