Модель,Объектов в выборке,Максимум NSE,Медианный NSE,Средний NSE,Минимум NSE,NSE < 0,"Плохие модели, %"
LSTM физ. гео ERA5-Land,911,0.95,0.67,-0.00,-273.15,104,32%
GR4J,388,0.96,0.64,-189.84,-51507.55,72,39%
HBV,388,0.94,0.52,-243.31,-74413.82,80,46%
RandomForestRegressot cross-validation,904,0.95,0.47,-1.87,-309.18,246,55%
LSTM ERA5-Land без физ. гео,911,0.89,0.44,-0.06,-28.64,172,58%
RandomForestRegressor ERA5-Land,904,0.95,0.41,-3.72,-327.05,279,59%
