gauge_id,NSE,KGE,r,alpha,beta,RMSE,delta
70158,-167.15474625195878,-0.24287072397804432,0.26761773619350254,0.6397632154200881,0.0626775820354532,14.440669256845075,-2767.687540679683
8290,-2581.3155044556465,-0.45397492332367984,0.1931636540426243,0.30372986401093777,0.010926652757226821,14.344958809958596,-44888.09623985643
70583,-79.6608203652316,-0.13659051185582727,0.34920671503255624,0.8953907045680941,0.07406102404574465,14.360539064661355,-5148.900726384135
76408,-359.9253310796962,-0.29934347824874097,0.14689794157697536,0.7872074460297755,0.04332362767926401,13.904526869777285,-3701.3653352326573
72668,-608.6280080430823,-0.322721719615368,0.1636825446865929,0.5993530896720484,0.0567885100758103,13.936233010499176,-2419.4259934809193
77112,-1459.6754758530772,-0.4375749143518697,0.15440263415103248,0.3817228209726228,0.01545946800701936,14.550949593151321,-11397.78752086302
76295,-740.290464782248,-0.2274496302464284,0.4535716062824218,0.45953127874359073,0.04295132481425864,14.435843507018996,-3198.3794532090697
72327,-139.0353570826687,-0.2188159051848344,0.22334525794434307,1.1607458033026135,0.07453773221455116,13.967727642941048,-2831.4198081956843
11352,-3152.103079981652,-0.46857882065742196,0.19828405955974615,0.26366967477111425,0.014204404820214832,14.449651307254062,-14124.804607593971
8256,-1510.9067747285303,-0.41314114090326126,0.18741965912728972,0.39908371576099255,0.012285115492863917,14.272892060962599,-30957.16645523073
78519,-466168.0060813037,-0.6672999636504298,0.08244288966235026,0.02292540044113127,0.00838346879732664,14.254722507190385,-12192.637592600779
72179,-147.4248963281166,-0.19727139156567142,0.2057512669785311,1.1518370481036202,0.11706554831144486,13.003328890149422,-1012.8652000259051
12511,-543.6197674146501,-0.3263520057671667,0.18109856813308184,0.6192177819249413,0.028601528472102088,14.27413332255788,-10125.039929924815
76076,-47.25624215866819,-0.4161595290170943,0.3374449479557197,1.8405871978712631,0.07266954249768261,14.165435078963734,-5740.801348002872
76345,-62.188767830432745,-0.2262724402257763,0.3090390285988306,1.5461073713310547,0.14672174958251866,12.626393909374903,-1363.8371774577668
83260,-214815.90275971964,-0.6707015123757558,0.0715058853453794,0.03401049451064824,0.001998748602584375,14.328374714696583,-131132.2470496973
10511,-487.524207862919,-0.2467799013242613,0.47496656128070874,0.38391231031229267,0.0517194670415328,14.081490950410945,-2895.766141353083
72144,-93.25930719597228,-0.290600659763121,0.2156724816774055,1.4667515362340677,0.08751799447547408,13.567799817513276,-6007.825602340369
5589,-26.88884918315126,-0.8561796329926612,0.23938612959503128,2.427338076150857,0.08918970885572779,13.620660349421543,-5265.222204378532
5199,-135.15543227775285,-0.30019778737432423,0.1629782780064871,1.290413138827487,0.048386038353540425,13.770665587715342,-9351.814582106485
5604,-11.389590925179487,-2.401051163287084,0.17068038443276784,4.159790925034912,0.05390312303714674,14.183296609004294,-17132.24113983946
75389,-828.3155514433449,-0.3056543336669222,0.2949369039627183,0.4940329369486314,0.024491619340607496,14.567467560255576,-5643.083822699065
8379,-138.13946582402164,-0.10386244634357067,0.6681744062236908,0.5235345645677826,0.06117905615554151,14.424405793433518,-10733.356569632057
78504,-79667.0555659694,-0.5262700429201539,0.3368236610734192,0.051927395729711986,0.004582638068041642,14.557548964877473,-38186.53582002149
75291,-81.43239670559723,-0.2883134939613168,0.29337759342956454,1.5399740162803621,0.06787098800784168,13.86586880180904,-4660.548324252083
70399,-28.550642435530676,-0.6009947577651962,0.38310852633139747,2.1663480184199404,0.0932136833660879,14.013643408235328,-2366.223447040442
84400,-4014.832434922175,-0.48702668862989307,0.16647549491168745,0.24074305829948142,0.030456721649598728,14.150277211270913,-3776.0529331777425
80224,-20525.810931508615,-0.6092554294780748,0.09644257739191246,0.10457045095783862,0.014356583719728927,14.440977995273048,-8754.499015987814
3087,-86.71185566119702,-0.03793248106518554,0.5758300662891304,0.7930173516216967,0.07558565250416417,13.737154767579637,-2817.3365665034453
70444,-16.45507703179561,-0.14468082550424866,0.3624505435206885,1.3854460937282385,0.1309452309263444,14.14645000396081,-1745.3761621813937
19382,-374.3073719714274,-0.1759652345545084,0.42194354749393226,0.6775341017073973,0.028011977936309544,14.46951998177815,-8981.58764478106
11370,-1592.1928787352408,-0.3991347436564714,0.22822350536682207,0.36832570994722275,0.01871173219858371,14.323873349525037,-10427.445089529858
1801,-381.3154302153833,-0.1954689107776595,0.3649760585498248,0.6863109912809943,0.03693732486930233,14.127229664373923,-8675.04187570227
10232,-50.246325450958686,-0.042047150547043444,0.46061497124817513,0.9913605167981563,0.10845560174963215,13.570535688061753,-1768.3217243421027
79244,-5289.9587858631985,-0.45898931362147866,0.273373918455404,0.2003741041391113,0.01955990415044188,14.555345482193077,-6376.143429561782
48089,-50.9354082932336,-0.20379539371453248,0.2908358174240255,1.351911456982911,0.0931550085467522,13.76348848269695,-4328.812051372142
72454,-2722.514718352874,-0.536493295147908,0.12739641487411557,0.1950293605504258,0.024604234741572317,14.60419633953625,-7555.778397312232
3247,-113.33674270234667,-0.08033372460649568,0.5222881778027093,0.7659455867613679,0.059717647140707486,13.881408681389276,-11664.019200407902
10120,-786.5183401775697,-0.30825863434789547,0.46102876906288126,0.2904608640121391,0.04208305105841903,14.421065887900633,-3636.3865868317653
9304,-4042.2486523533785,-0.4914540659254343,0.1612560079535862,0.2459013366362472,0.02415218784661071,13.977288036284442,-5067.58731096496
72721,-198.30997696374766,-0.19890627481126932,0.27678284432605743,1.0222266628750767,0.04405064099704269,14.369660128653067,-12150.78671552623
10641,-609.3720858352594,-0.3576724433668699,0.1403307498082712,0.6138666269096603,0.02268517767382983,14.168592171330125,-11529.685744087426
83063,-37330.32673434575,-0.5708843493634099,0.20607184136463363,0.07788712773537342,0.006489270916191549,14.472617537621204,-52585.10128579769
71199,-234.32586855696312,-0.11987987277131218,0.6017605189531554,0.49770393712361155,0.08172176852943451,13.890223256014085,-1604.5477908736104
10044,-185.85580437966183,-0.1333198598544283,0.7347787769205827,0.39151224598320605,0.08140636798401613,14.548688689572735,-2872.985944921086
2103,-193.6834903712448,-0.020240040216149335,0.4257616429396462,0.8710069698444447,0.16663282575315952,12.17706944408496,-563.7334732698012
70586,-43.60002355220161,-0.5346591658180382,0.27904870265344833,2.009383852461126,0.0963672092744881,13.557597196503348,-2460.849640617133
78054,-76661.01368187659,-0.595789754420345,0.1767601571772587,0.05337083645574046,0.013737191094772857,14.514616574287835,-7719.622426226307
76518,-14238.832160634141,-0.5357893501897328,0.1949822243453103,0.12533997418794474,0.027598257774785626,14.050800515519835,-3770.7476617969132
11350,-2724.833742581857,-0.47062011048926444,0.17390064592266996,0.2885328218375405,0.013036058933244674,14.401919814838491,-17910.02948798393
11801,-2205.643556465416,-0.4989369911198558,0.10196762470900808,0.29608674791302025,0.027962917470224575,14.322297621918981,-5479.5886659006155
5597,-55.96745045341148,-0.10980804311230297,0.43795302339837294,0.9682810299738785,0.04356338652777861,14.256688894982005,-13773.896350179184
10385,-27.297831821947273,-0.06910011915554048,0.44830842402445387,1.1761648246252465,0.101346883196433,13.99113842979405,-3073.5691549738362
4240,-0.3085795960047515,,,,,2.5178272502306185,100.0
79335,-38615.089170529005,-0.5961118332199171,0.15350873414789962,0.07920360513324402,0.008455991808160855,14.488585848381172,-15193.233646600556
10329,-929.0178976387352,-0.36004061018919575,0.3591861325278223,0.2924592127842295,0.03126160236871076,14.2462079806721,-4989.137057734552
9563,-8422.475455533442,-0.46856537703354695,0.30754283715859587,0.16122095437935433,0.013269511528585725,14.501318566715371,-14527.525438560375
10411,-34.10462898532985,-0.755714329531173,0.3337681695496124,2.330089085908109,0.0675135504663066,13.78111844902224,-4410.599321807974
72191,-8.686000423175397,,,,,3188.502251861541,100.0
5607,-79.4918534690176,-0.3874493130657115,0.24387685478706478,1.6522435601453673,0.036739015713441334,13.999732159963658,-17903.90918666167
10688,-2059.5188889362635,-0.47314670315304785,0.11786691869164789,0.3472477880399022,0.017189242196990313,14.137974187183298,-10357.850600193105
84447,-45.769135595984835,-0.015047930003002863,0.4802492533437249,1.0245484094521238,0.12846179822855933,13.402100663633929,-1346.4032719344962
10328,-1174.788553973476,-0.38736127427119293,0.21140573171807386,0.3989479843514078,0.029625402298140213,14.394984039929517,-5791.944598962762
5736,-78.28773602195491,-0.08963526274518485,0.48105120423415965,0.7791986227964255,0.06766749224541314,14.258366667619446,-21286.609661157752
10713,-54383.23075470309,-0.5974203437817758,0.1633115157570522,0.0656036559704075,0.010754020818251234,14.39671175235905,-10271.129777725593
77209,-4237.625003513887,-0.5329240504831996,0.11698248759229339,0.22221047920159223,0.017564415003554715,14.574943348294893,-6704.537866559461
3150,-36.71904855039306,0.054797108974089515,0.7175362894861849,0.8347397140829224,0.11325776273760792,13.835226387072652,-3243.7582542110827
72104,-271.30775743064373,-0.2550680028225363,0.2657840468803985,0.5791465152145147,0.07317478981334445,13.958331478777403,-1991.521195402457
49052,-216.35601997760435,-0.16262119480052406,0.263787191417038,0.9537234245518519,0.1013692517821477,13.16166360154319,-1107.0155091479644
3222,-162.75251579599652,-0.1313880537781209,0.47758706165838083,0.6557653167472886,0.05733031610694882,14.029295675298895,-5652.822393205326
5664,-22.687019083508073,-1.1690611430665414,0.07822391681438422,2.78277047371354,0.1772700729380773,12.035431992602451,-999.7910542173126
75387,-19861.887345724514,-0.6419168316514354,0.04030538911750904,0.11340779040201396,0.005599985024360026,14.203030869025422,-27623.4508724517
75219,-149.43436604266742,-0.2755742832824626,0.16747034167085018,1.1996589253628647,0.05442058308312168,13.87838427029009,-3471.0701800889956
78141,-12057.968312761184,-0.4923043960307727,0.29671133023043983,0.13109162727952978,0.011386983090553948,14.510945668452473,-11370.015707676685
84011,-227501.77031643403,-0.6395002576732907,0.12468492259104767,0.032574729315443716,0.0070886465488174625,14.386993800660827,-14845.757907197374
70614,-103.48149314453717,-0.3068035897963539,0.19397229647705666,1.4294963583387799,0.06534078850530017,13.747179440764686,-6485.687201645142
9383,-89.89531636609621,-0.37178234979257785,0.17650437697070753,1.543939220218478,0.04722935668537835,13.99849760229015,-5083.683856720986
11048,-59315.393580138625,-0.6269798098199502,0.11494538282604858,0.062167874166561415,0.007925138945873236,14.346081244435029,-14864.558347481016
80236,-25002.67338826824,-0.5927667102266101,0.14201618347978426,0.09360309091033303,0.010447471334542461,14.569741508316923,-13782.238634586303
9560,-138.0889808899534,-0.112588273260539,0.506196245772609,0.6532808761942176,0.06522924345315943,14.034061307841402,-3070.991070018646
9022,-4599.11403793945,-0.4293017778329724,0.40490907186417113,0.11226356375018945,0.05095080258112044,14.338471502833437,-1970.5855884373375
10240,-28.295574128950374,-0.07280016271708711,0.4007649636989343,1.0596046052913812,0.11215719216568096,14.197589275853405,-2653.903540004447
84233,-77.53959979493993,0.03176168096640075,0.6802708288359214,0.8039115717674845,0.10735895911904053,13.679124157394842,-1785.8243219252092
49110,-2093.0980985988213,-0.382612964595584,0.4095445661622816,0.18694290152404594,0.050305762291270685,14.382420727263936,-2264.7298956881823
10392,-1851.4747153951466,-0.403051655949195,0.24104520083664707,0.34093518848992493,0.02113579270775129,14.33554360540322,-8251.498402908966
4238,-117.95434180572745,-0.2907116310418705,0.11410062013486796,1.3139314844605028,0.11537249289558878,12.652404502960405,-1104.2914661121301
48011,-0.9984698647447992,,,,,1.7932502429882002,100.0
84029,-80909.02036603358,-0.6328732504643702,0.1276617721593924,0.03872004847568529,0.009423439037952447,14.369423960348591,-12663.43123451999
6424,-260.589629368192,-0.2635781431677857,0.4297024884049496,0.3886333611075834,0.05257121375312225,14.575047446219962,-4671.883497577713
75217,-51.568032854704086,-0.6090422692762445,0.12357795297855666,1.9695145661952222,0.06141440148078153,14.119119026573916,-6355.830721858429
48110,-74.1112732672098,-0.386370128923504,0.16587750878577215,1.6352330991720332,0.09294944256770493,13.471429033832491,-2045.3445991405163
12059,-10223.454770258426,-0.5495313907872037,0.16765758616948584,0.15222985784895968,0.005244038343612979,14.376521926961127,-43725.51882927585
8384,-623.0843902227283,-0.3271478860465369,0.17261749950294145,0.6144130650448992,0.03662965329995897,13.783405450424398,-3810.0030458579527
78191,-183659.43523344284,-0.6226036613567683,0.15929222831323445,0.0351278376971596,0.002465642252406193,14.522690615931339,-49709.04636164827
76454,-248.16058751908926,-0.20825878982473722,0.23252182551055486,0.8787998854262181,0.07470162266521325,13.669115284522725,-1571.6914549398525
72110,-96.6144728980375,-0.11910885843147145,0.36280934760465045,0.8356759572594121,0.0947981890776129,13.99144947521066,-2946.346718869836
77250,-31940.28304193571,-0.49471333850765764,0.3646072076084058,0.08141484979570938,0.006699800909271698,14.519489389874789,-19379.602467200548
75624,-43417.94158325096,-0.6525633421520676,0.05745899917521695,0.06741075334572688,0.013663668613061862,14.546651134591297,-7914.325575725944
9199,-38.08450160569226,0.03802620761081843,0.6295444100464788,1.000406759359287,0.11221845724151457,13.663484260359862,-2051.2919850444796
5552,-36.80916635886179,-0.6365753722995793,0.2751836855884409,2.1585771027384992,0.09960044614048387,13.379893013505198,-3154.910287912134
70217,-39.27303689683243,-0.11049862175673342,0.42909194269918105,1.252303329726682,0.08151526477494526,14.023332273222207,-2400.8237069790243
78345,-43341.681624890094,-0.6434833922293204,0.06653733554583506,0.07411518593275722,0.01388518635840753,14.271194162900505,-8094.759412056544
70587,-222.4327587311776,-0.24648867426354149,0.19744310977979065,0.9527361618973564,0.04742318806557387,14.241909743675226,-4430.894430266195
19154,-3007.4250321736104,-0.4399861515027781,0.2548285522759245,0.26782873744298996,0.008937503331771984,14.425628604307969,-28280.14827554447
77362,-480745.2522434934,-0.671039198622408,0.08520202513748201,0.022072171575036756,0.0004131698986371346,14.40564267611397,-370560.96120390616
10549,-3174.2352419661274,-0.48330959780319116,0.16739367414985595,0.2696906037711701,0.013277012090388887,14.298525815773843,-68736.11408566665
11622,-1176.181289002899,-0.35362950416895034,0.25417643901577947,0.4253207661636867,0.027475538284613143,14.286970135841171,-8821.842254881642
78502,-23073.190235026377,-0.4901869492638462,0.35142546409893316,0.09683281275061761,0.007882442946883823,14.442829258764341,-24635.58616418487
72008,-244.1988967413402,-0.17500848829664828,0.2519631069460304,0.8881101238960939,0.1007967916956749,13.335223116394445,-1223.8861757002967
3169,-149.29678826492656,-0.12792366462693439,0.4921641742794053,0.6558890995598953,0.053478866829464074,13.861214718515813,-9239.321692129484
70348,-57.38254976100658,-0.08227345688779586,0.41556889682705145,0.9801580272863778,0.08930662830635372,14.084436334712446,-1815.5089977281605
78021,-54072.40373006128,-0.527342877153687,0.31091921030231795,0.06338525617728753,0.009698656309284761,14.482917398668993,-11768.307345187337
10315,-249.04084588333538,-0.22331720218772744,0.38930711939934615,0.5281399521978007,0.050838644886871225,14.132513319542719,-4900.305982131912
3036,-296.90787423676727,-0.14202546966891583,0.5971070898428502,0.5081981370215243,0.05130067782858043,13.931855050098843,-5740.50468212518
5449,-52.237820934664875,-0.07830727829573103,0.4854374623927324,0.6975913943714915,0.10193484837761478,14.242177139842575,-5719.7547540541345
75235,-1304.0862469646872,-0.4288317306280851,0.11456450389233078,0.42509606100276626,0.037165872225293724,13.904633158755992,-3381.2579724314505
10266,-34.47963854874872,-0.12036416291179663,0.33586739482180855,1.0479602925737326,0.09897638731689096,14.257213054256122,-3141.7417688487967
19153,-2332.64527292491,-0.4238690797411555,0.25026378595637133,0.3032087359413669,0.010161275799929292,14.4450057019329,-32791.383251060586
77197,-649.2091634608635,-0.34361823443673356,0.20143609851023644,0.5364802303384676,0.023908263388501078,14.653186502346756,-6527.826909439143
10194,-4192.7042986049155,-0.449110427179672,0.2593611552010251,0.23023350367547832,0.020798961973609136,14.184146402057966,-5693.346842128282
12320,-2858.193040004247,-0.4196736257065974,0.26857974593773704,0.2703665861354058,0.02627894299922357,14.340716848223654,-5204.59849142117
75289,-88.90942758019266,-0.3020162106547575,0.2293168779196886,1.4741341302209259,0.06378925198010921,14.024770668762034,-3002.9421475357535
3219,-122.41591155984993,-0.15238660170486185,0.3982952008091448,0.7296378436045138,0.05509232260037428,14.01605581711651,-4026.5076818629022
3074,-443.80826746296617,-0.228980005196177,0.31027467281436927,0.702222141031306,0.027375111916885856,14.04507749613755,-8346.417934535946
76270,-272.7784980541355,-0.2076240874218258,0.28554448729890025,0.8601646382804301,0.03648802368358544,14.146065799106312,-9854.942333336869
3102,-851.0722084718064,-0.22206337592183778,0.5220459525160168,0.4454868971127735,0.021473535365784113,14.406471503483084,-270829.51588366233
75222,-262.9683336803323,-0.30052463851833844,0.11844851635370868,0.9295168112596001,0.04644694055377156,14.003201968991302,-4470.425427324167
8097,-837.1910943381262,-0.27103222632375545,0.6097724045408269,0.26564948117697285,0.03876399380795913,14.46484169995821,-4323.1045321996635
83314,-783.2277108214166,-0.39057377714740227,0.2733783541188983,0.31356053800662914,0.0332956613083381,14.692677852159237,-6866.095808619725
83061,-10800.589663520086,-0.5222008921240859,0.21910229719309784,0.1479417710423765,0.009398612861932153,14.27772681893387,-30340.449365356715
7161,-166.49799096677327,-0.19338678608024895,0.17557049544414213,1.0481481971380817,0.13850724650692448,12.454225390559237,-788.9728100911501
2115,-8.636763649256524,0.06747562954956488,0.6573975351557726,1.549867663364981,0.3292759096676368,10.689597614262999,-318.61702980325543
77115,-802.2839685138186,-0.38123047098621554,0.14638166397013566,0.5376548301168289,0.01746740804179417,14.326055937037431,-16205.666610387945
3178,-58.62397310852741,0.002008671782082194,0.69591224963571,0.8686743795487185,0.05858037374949787,13.998743044301516,-6053.5416741765575
9385,-80.04132074848249,-0.17632690586905353,0.2995140405290096,0.8879480600147294,0.06164571040517734,14.234130424219178,-3186.6924238157662
7039,-563.2401798567065,-0.3346492677334585,0.13617697991728014,0.624351620294057,0.0544912730910804,13.655428901898457,-2983.426082904886
4005,-15.925861810124616,-1.687688626274999,0.09097157899531191,3.387060523560597,0.16377064242378914,12.312895522501957,-1142.9694733960037
77336,-242655.32200139752,-0.6104243785355905,0.187891457525178,0.030865025008053108,0.0026415917692768813,14.512347623928154,-42262.40902407666
11620,-6926.190853546369,-0.5099603034960274,0.20493476693938056,0.1816470657942492,0.010985405371125993,14.342260212842056,-20290.263437010686
70466,-10.600057913059764,-0.21648742902202311,0.3038114573433353,1.5056334991211906,0.14005933773971252,14.318956688316527,-3008.2389779982836
77231,-1307.049941128969,-0.37629123849920676,0.24577985852397594,0.39359706392067395,0.021427043866457957,14.42598262711497,-6712.068029802433
77245,-16048.54546050056,-0.5081124309916261,0.2838204290102178,0.11783438515988776,0.008398389169253832,14.406952501163655,-16098.84649495886
76112,-48.337544709476234,-0.03840834770764534,0.49316892458546796,0.8893440238217315,0.10046155584149408,14.377372138995916,-1983.8729508587721
10468,-778.8355591008994,-0.36294195433329723,0.16837011502825278,0.5277664706857701,0.028919159340905897,14.211635901870995,-6982.7013773563285
75627,-9065.660568197196,-0.49621303879880974,0.2630765960627562,0.14856572036206836,0.014780724072782386,14.51535945893419,-8094.999168787704
76264,-432.56364717931393,-0.2529665331194082,0.2753291075257537,0.6541641282019259,0.03813993715535001,14.480797744681349,-4360.165490564124
75645,-3572.0484745426343,-0.5081000032169467,0.13868434299509713,0.2578334719233252,0.009197394379798052,14.403926721783874,-17299.770466255923
72246,-180.55910545396196,-0.26694527767582477,0.1749236391412887,1.1254758324616605,0.04676595169639904,13.943370696230586,-26329.79211622048
3106,-209.4579221872993,-0.13129856159752906,0.6055834462373224,0.5257183206263267,0.051670465396600876,13.997251657451086,-10954.069176972123
5347,-74.56823613980538,-0.04909857864355627,0.613561660504788,0.5764354497803381,0.12144077645423983,14.221114184415516,-2212.6238674235865
9164,-27.4394899826622,0.0696986726519988,0.653363620812517,1.142282238723944,0.14849571649172139,13.110774785012934,-1700.0573341362567
75266,-364.8043604913855,-0.34443642951628806,0.2117033032139625,0.5124364872266298,0.02615224400380804,14.618007921670738,-7482.881958291695
3029,-266.206235226787,-0.13536615019477316,0.5968926540366509,0.5224865705491194,0.05208561181267866,13.965600071013597,-5491.688429089163
11524,-2718.130107214868,-0.4386354984105105,0.22512360963355516,0.27216605071244726,0.03072376527430972,14.316986447343242,-4795.111052030371
72192,-89.89779975366409,-0.3719686968913394,0.15081310987360355,1.5602533670393905,0.07951322898794186,13.422112665695813,-2944.6977229165236
5583,-60.555502432910075,-0.40503292752148035,0.2506049034916265,1.7439127813790742,0.07311365828941212,13.636210649186694,-3214.0207347318337
9226,-77.42490054304837,-0.1250063655771121,0.39009965527740903,0.8296776099164922,0.07013378621839972,14.277525679042697,-3897.623317063405
2164,-25.281809737879378,-0.9734175207414082,0.20560444172794817,2.5955618226979777,0.15294930605334564,12.612952412863367,-1991.12293883137
11571,-268.1831284456929,-0.22337059450161623,0.456534220985596,0.40890567822593926,0.07702217724477906,14.192541013523861,-1817.1157510516548
76685,-29.154985704548213,-0.13258870967920644,0.38183903243558454,1.2940606237979693,0.09769043393955737,14.031502639807142,-2684.920295726288
8403,-713.4445848514904,-0.22563822356674956,0.42091561074734374,0.5015144482614542,0.041687691877197466,14.305472639607588,-5237.0065615139965
4105,-41.04868802816568,-0.7621436525689764,0.12129233049927242,2.238013248052177,0.10537925270144109,12.953168174224169,-2363.371114836675
70533,-33.19217048075804,-0.15235555244449928,0.3469014351297623,1.2335892222725133,0.0797708660055226,14.285163238468568,-4586.403525759598
48056,-539.0527410023642,-0.37488670938837343,0.07058914889371229,0.6537577168954459,0.04783130964664589,13.904889159922535,-5949.3056402330885
10202,-2372.7283746826893,-0.4530796072236527,0.184235439036629,0.31624288085078317,0.010836349223119286,14.248478973746568,-20025.70679425377
3291,-158.23270605490066,-0.1973439633532441,0.30433601218718326,1.1279841663935404,0.033923276446754344,14.062201128780458,-10175.459274367848
10570,-1823.701563158814,-0.4100021819922197,0.2097157942891683,0.3579867008211735,0.02461497289309435,14.07342680579153,-5564.91607041849
