2025-10-19 15:05:18 | INFO     | PhDLogger | gr4j_simple | ✓ 77288/e5: KGE=-3.092, NSE=-17.472
2025-10-19 15:05:20 | INFO     | PhDLogger | gr4j_simple | ✓ 10478/gpcp: KGE=0.793, NSE=0.745
2025-10-19 15:05:26 | INFO     | PhDLogger | gr4j_simple | ✓ 77407/e5: KGE=-7.506, NSE=-85.000
2025-10-19 15:05:29 | INFO     | PhDLogger | gr4j_simple | ✓ 10651/gpcp: KGE=0.503, NSE=0.232
2025-10-19 15:05:34 | INFO     | PhDLogger | gr4j_simple | ✓ 76644/e5: KGE=0.397, NSE=-0.161
2025-10-19 15:05:37 | INFO     | PhDLogger | gr4j_simple | ✓ 76324/e5: KGE=0.413, NSE=0.256
2025-10-19 15:05:52 | INFO     | PhDLogger | gr4j_simple | ✓ 9166/e5: KGE=0.807, NSE=0.788
2025-10-19 15:05:52 | INFO     | PhDLogger | gr4j_simple | ✓ 19128/mswep: KGE=-19.469, NSE=-437.412
2025-10-19 15:05:54 | INFO     | PhDLogger | gr4j_simple | ✓ 7022/e5: KGE=0.793, NSE=0.620
2025-10-19 15:05:56 | INFO     | PhDLogger | gr4j_simple | ✓ 80442/e5: KGE=0.077, NSE=-1.093
2025-10-19 15:06:06 | INFO     | PhDLogger | gr4j_simple | ✓ 4160/e5: KGE=0.377, NSE=0.522
2025-10-19 15:06:10 | INFO     | PhDLogger | gr4j_simple | ✓ 76165/e5: KGE=0.547, NSE=0.395
2025-10-19 15:06:14 | INFO     | PhDLogger | gr4j_simple | ✓ 75648/mswep: KGE=-0.083, NSE=-0.912
2025-10-19 15:06:27 | INFO     | PhDLogger | gr4j_simple | ✓ 10584/e5: KGE=0.081, NSE=-0.357
2025-10-19 15:06:31 | INFO     | PhDLogger | gr4j_simple | ✓ 48071/e5: KGE=0.664, NSE=0.302
2025-10-19 15:06:31 | INFO     | PhDLogger | gr4j_simple | ✓ 8254/e5: KGE=0.594, NSE=0.315
2025-10-19 15:06:38 | INFO     | PhDLogger | gr4j_simple | ✓ 77407/mswep: KGE=-1.485, NSE=-41.997
2025-10-19 15:06:43 | INFO     | PhDLogger | gr4j_simple | ✓ 72559/e5: KGE=0.881, NSE=0.815
2025-10-19 15:06:45 | INFO     | PhDLogger | gr4j_simple | ✓ 75257/e5: KGE=0.653, NSE=0.385
2025-10-19 15:06:53 | INFO     | PhDLogger | gr4j_simple | ✓ 76644/mswep: KGE=0.825, NSE=0.696
2025-10-19 15:06:55 | INFO     | PhDLogger | gr4j_simple | ✓ 77288/mswep: KGE=-2.133, NSE=-10.071
2025-10-19 15:07:08 | INFO     | PhDLogger | gr4j_simple | ✓ 19383/e5l: KGE=0.315, NSE=-0.133
2025-10-19 15:07:08 | INFO     | PhDLogger | gr4j_simple | ✓ 80442/mswep: KGE=0.376, NSE=-0.372
2025-10-19 15:07:09 | INFO     | PhDLogger | gr4j_simple | ✓ 76324/mswep: KGE=0.034, NSE=-1.325
2025-10-19 15:07:10 | INFO     | PhDLogger | gr4j_simple | ✓ 10651/e5: KGE=0.641, NSE=0.789
2025-10-19 15:07:13 | INFO     | PhDLogger | gr4j_simple | ✓ 10044/e5l: KGE=0.905, NSE=0.873
2025-10-19 15:07:14 | INFO     | PhDLogger | gr4j_simple | ✓ 9166/mswep: KGE=0.620, NSE=0.757
2025-10-19 15:07:26 | INFO     | PhDLogger | gr4j_simple | ✓ 10478/e5: KGE=0.832, NSE=0.824
2025-10-19 15:07:33 | INFO     | PhDLogger | gr4j_simple | ✓ 76165/mswep: KGE=0.381, NSE=0.163
2025-10-19 15:07:43 | INFO     | PhDLogger | gr4j_simple | ✓ 48071/mswep: KGE=0.639, NSE=0.389
2025-10-19 15:07:45 | INFO     | PhDLogger | gr4j_simple | ✓ 4160/mswep: KGE=0.360, NSE=0.227
