"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-23 04:00:00","86.0","","","0.0","","","","","","2023-02-23 01:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1941"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-23 03:00:00","86.0","","","0.0","","","","","","2023-02-23 00:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1942"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-23 02:00:00","85.0","","","0.0","","","","","","2023-02-22 23:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1943"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-23 01:00:00","84.0","","","0.0","","","","","","2023-02-22 22:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1944"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-23 00:00:00","83.0","","","0.0","","","","","","2023-02-22 21:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1945"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 23:00:00","81.0","","","0.0","","","","","","2023-02-22 20:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1946"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 21:00:00","78.0","","","0.0","","","","","","2023-02-22 18:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1947"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 20:00:00","76.0","","","0.0","","","","","","2023-02-22 17:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1948"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 19:00:00","74.0","","","0.0","","","","","","2023-02-22 16:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1949"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 18:00:00","73.0","","","0.1","","","","","","2023-02-22 15:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1950"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 17:00:00","73.0","","","0.1","","","","","","2023-02-22 14:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1951"
"75337","НОВОСИЛЬ","52.96","37.08","2023-02-22 16:00:00","72.0","","","0.2","","","","","","2023-02-22 13:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","110001810","Р.ЗУШA","","1952"
