"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-24 08:00:00","283.0","2.0","282.0","","","","","","","2023-02-24 06:00:00.0","","","","","","","","2069"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-22 08:00:00","275.0","5.0","273.0","","","","","","","2023-02-22 06:00:00.0","","","","","","","","2070"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-23 08:00:00","281.0","6.0","279.0","","","","","","","2023-02-23 06:00:00.0","","","","","","","","2071"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-21 08:00:00","270.0","0.0","267.0","","","","","","","2023-02-21 06:00:00.0","","","","","","","","2072"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-20 08:00:00","270.0","-5.0","272.0","","","29","","","5","2023-02-20 06:00:00.0","","","","","","","","2073"
"75938","ЮРЬЕВЕЦ","57.3","43.12","2023-02-19 08:00:00","275.0","-2.0","274.0","","","","","","","2023-02-19 06:00:00.0","","","","","","","","2074"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-23 08:00:00","286.0","6.0","","","","","993","","","2023-02-24 03:00:00.0","","","","","","","","2075"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-24 08:00:00","288.0","2.0","","","","","0","0","","2023-02-24 03:00:00.0","","","","","","","","2076"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-22 08:00:00","280.0","6.0","","","","","2","","","2023-02-22 03:00:00.0","","","","","","","","2077"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-21 08:00:00","274.0","0.0","","","","43","1","","4","2023-02-21 03:00:00.0","","","","","","","","2078"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-19 08:00:00","281.0","-1.0","","","","","0","0","","2023-02-20 03:00:00.0","","","","","","","","2079"
"75940","СОКОЛЬСКОЕ","57.15","43.16","2023-02-20 08:00:00","274.0","-7.0","","","","","990","","","2023-02-20 03:00:00.0","","","","","","","","2080"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-25 08:00:00","283.0","1.0","283.0","","","30","990","","2","2023-02-25 06:00:00.0","","","","","","","","2081"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-24 08:00:00","282.0","3.0","283.0","","","","0","0","","2023-02-24 06:00:00.0","","","","","","","","2082"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-22 08:00:00","276.0","3.0","277.0","","","","2","","","2023-02-22 06:00:00.0","","","","","","","","2083"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-23 08:00:00","279.0","3.0","279.0","","","","0","0","","2023-02-23 06:00:00.0","","","","","","","","2084"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-21 08:00:00","273.0","-3.0","272.0","","","","2","","","2023-02-21 06:00:00.0","","","","","","","","2085"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-20 08:00:00","276.0","-2.0","276.0","","","29","990","","2","2023-02-20 06:00:00.0","","","","","","","","2086"
"75942","ПУЧЕЖ","56.98","43.18","2023-02-19 08:00:00","278.0","1.0","277.0","","","","0","0","","2023-02-19 06:00:00.0","","","","","","","","2087"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-23 08:00:00","282.0","5.0","","","","","990","","","2023-02-24 03:00:00.0","","","","","","","","2088"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-24 08:00:00","283.0","1.0","","","","","0","0","","2023-02-24 03:00:00.0","","","","","","","","2089"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-22 08:00:00","277.0","6.0","","","","","2","","","2023-02-22 03:00:00.0","","","","","","","","2090"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-21 08:00:00","271.0","0.0","","","","44","2","","3","2023-02-21 03:00:00.0","","","","","","","","2091"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-19 08:00:00","277.0","-1.0","","","","","990","","","2023-02-20 03:00:00.0","","","","","","","","2092"
"75945","ЧКАЛОВСК","56.75","43.26","2023-02-20 08:00:00","271.0","-6.0","","","","","990","","","2023-02-20 03:00:00.0","","","","","","","","2093"
"78900","ЦИМЛЯНСКАЯ ГЭС ( В/БЪЕФ )","47.61","42.11","2023-02-25 08:00:00","","","","","","23","","","0","2023-02-25 06:00:00.0","","","","","","","","2094"
"78900","ЦИМЛЯНСКАЯ ГЭС ( В/БЪЕФ )","47.61","42.11","2023-02-20 08:00:00","","","","","","22","","","0","2023-02-20 06:00:00.0","","","","","","","","2095"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-25 08:00:00","136.0","-2.0","","","","44","","","2","2023-02-25 06:00:00.0","","","","","","","","2096"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-24 08:00:00","138.0","-1.0","","","","","","","","2023-02-24 06:00:00.0","","","","","","","","2097"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-22 08:00:00","140.0","0.0","","","","","","","","2023-02-22 06:00:00.0","","","","","","","","2098"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-23 08:00:00","139.0","-1.0","","","","","","","","2023-02-23 06:00:00.0","","","","","","","","2099"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-21 08:00:00","140.0","0.0","","","","","","","","2023-02-21 06:00:00.0","","","","","","","","2100"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-20 08:00:00","140.0","-3.0","","","","48","","","2","2023-02-20 06:00:00.0","","","","","","","","2101"
"75326","МУРОМ ( ГП ПРИ МУРОМ ОГМС )","55.58","42.08","2023-02-19 08:00:00","143.0","-5.0","","","","","","","","2023-02-19 06:00:00.0","","","","","","","","2102"
