date,q_mm_day,q_mm_day_pred
2019-01-01,0.10621528561572618,0.20941446775386935
2019-01-02,0.11170917969929825,0.26897651068402795
2019-01-03,0.118118722796799,0.15139977544806027
2019-01-04,0.118118722796799,0.10802752148500136
2019-01-05,0.118118722796799,0.06325636852365586
2019-01-06,0.12361261688037106,0.00926938795508159
2019-01-07,0.12361261688037106,0.14095621081022947
2019-01-08,0.12361261688037106,0.15646512487069425
2019-01-09,0.12361261688037106,0.04749582678030426
2019-01-10,0.118118722796799,0.02096920452529487
2019-01-11,0.118118722796799,0.16594948594227255
2019-01-12,0.12361261688037106,0.1308096945385286
2019-01-13,0.12178131885251371,0.13414238275374124
2019-01-14,0.12727521293608576,0.20680662398849503
2019-01-15,0.12727521293608576,0.14960268362287552
2019-01-16,0.12544391490822843,0.0815964568016073
2019-01-17,0.1300221599778718,0.23855190861133443
2019-01-18,0.13551605406144387,0.08761984887846204
2019-01-19,0.14100994814501594,0.05743497514032965
2019-01-20,0.14833514025644537,0.17155654594173264
2019-01-21,0.14833514025644537,0.0307342160805543
2019-01-22,0.14833514025644537,0.016752336683883054
2019-01-23,0.14833514025644537,0.056893119449499555
2019-01-24,0.14558819321465932,0.1077802472222337
2019-01-25,0.14558819321465932,0.03110331354965616
2019-01-26,0.14558819321465932,0.1077745877760788
2019-01-27,0.14558819321465932,0.0569302686345163
2019-01-28,0.14558819321465932,0.04941046094870604
2019-01-29,0.13643170307537256,0.23629698210361916
2019-01-30,0.13643170307537256,0.15841139389196185
2019-01-31,0.13643170307537256,0.12390183260746673
2019-02-01,0.13643170307537256,0.13368237136115113
2019-02-02,0.13643170307537256,0.18927888390477682
2019-02-03,0.13643170307537256,0.1888242417303337
2019-02-04,0.14375689518680196,0.14787727811565274
2019-02-05,0.15749163039573214,0.1097607631484386
2019-02-06,0.17122636560466203,0.19521186995715722
2019-02-07,0.17397331264644833,0.07725754808285534
2019-02-08,0.17397331264644833,0.09153328333756916
2019-02-09,0.18129850475787748,0.1314968093473343
2019-02-10,0.18129850475787748,0.23978116933897817
2019-02-11,0.18862369686930688,0.30394419687906155
2019-02-12,0.19503323996680763,0.3311928338608318
2019-02-13,0.20235843207823706,0.12842402031323488
2019-02-14,0.21059927320359517,0.25105246425546324
2019-02-15,0.22067141235681062,0.20629451666847912
2019-02-16,0.2380687436214555,0.25938331410947096
2019-02-17,0.24630958474681358,0.21294683283854693
2019-02-18,0.27377905516467366,0.1709807335739732
2019-02-19,0.29117638642931853,0.3457866590122515
2019-02-20,0.3131519627636068,0.5299460526905256
2019-02-21,0.3241397509307509,0.2565344359834998
2019-02-22,0.3241397509307509,0.2482594550210211
2019-02-23,0.33421189008396635,0.5005008250306366
2019-02-24,0.35618746641825433,0.6152862924002099
2019-02-25,0.36717525458539846,0.6283590325619989
2019-02-26,0.37724739373861393,0.6076244181045114
2019-02-27,0.3992229700729022,0.46646955950323205
2019-02-28,0.43401763260219167,0.5804365838904052
2019-03-01,0.4706435931593388,0.344131198454943
2019-03-02,0.45874015597826595,0.5412153160109551
2019-03-03,0.4889565734379123,0.5969951075415969
2019-03-04,0.5017756596329138,0.682284702463895
2019-03-05,0.5145947458279153,1.0404878828315884
2019-03-06,0.5402329182179183,0.6245555945179022
2019-03-07,0.5677023886357783,0.822331905872859
2019-03-08,0.5960875080675673,1.095855405476947
2019-03-09,0.6849054624186488,0.839839620224029
2019-03-10,0.8222528145079498,0.9291538069324766
2019-03-11,0.9431184843465353,0.6942416610491461
2019-03-12,1.034683385739403,0.6534939389619182
2019-03-13,1.1354047772715568,0.9406011251357793
2019-03-14,1.1170917969929832,1.2489326855305318
2019-03-15,1.1720307378287036,1.224873654356058
2019-03-16,1.1903437181072771,1.0817168029559863
2019-03-17,1.2269696786644242,1.478818372544293
2019-03-18,1.410099481450159,1.1962069633274772
2019-03-19,1.5382903434001733,1.506327634277196
2019-03-20,1.6664812053501876,1.2630924746960723
2019-03-21,1.7946720673002026,2.283685359416766
2019-03-22,2.1609316728716723,1.425038832444396
2019-03-23,2.518034788303856,2.621361873694663
2019-03-24,2.884294393875326,2.680082835857802
2019-03-25,3.2413975093075087,2.3915578858651383
2019-03-26,3.1956150586110748,1.9037594833385423
2019-03-27,2.98501578540748,2.2724065185720743
2019-03-28,2.6370691601145837,3.7308289594637625
2019-03-29,2.3806874362145543,3.6490955283227935
2019-03-30,2.25249657426454,3.2113292418575305
2019-03-31,2.3440614756574067,1.8965406420969693
2019-04-01,2.4539393573288484,2.512249783424365
2019-04-02,2.518034788303856,3.636809306062531
2019-04-03,2.435626377050275,3.3432399030638047
2019-04-04,2.25249657426454,3.08479302290235
2019-04-05,2.005271340503797,2.838243459470514
2019-04-06,1.7763590870216286,2.583461288365359
2019-04-07,1.6206987546537543,2.5002334732114897
2019-04-08,1.4833514025644532,1.8854710556460048
2019-04-09,1.3551605406144385,1.375190140484083
2019-04-10,1.3917865011715855,1.3192074795758888
2019-04-11,1.2819086195001443,1.0684321963483987
