scripts.loaders 2023-10-25 12:04:44,259 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-25 12:04:50,888 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-25 12:04:50,888 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-25 12:04:58,785 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-25 12:05:02,035 INFO 
###########################################################
###########################################################

Data for 20231025 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-26 04:20:00,000 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-26 04:23:12,661 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-26 04:23:12,661 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-26 04:27:34,173 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-26 04:27:34,174 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-26 04:31:33,921 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-26 04:31:33,922 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-26 04:34:00,518 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-26 04:34:00,519 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-26 04:36:26,269 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-26 04:36:26,269 INFO Unarchive t_2m ..
scripts.loaders 2023-10-26 04:37:00,020 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-26 04:37:00,021 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-26 04:37:33,736 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-26 04:37:33,736 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-26 04:38:07,364 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-26 04:38:07,364 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-26 04:38:33,974 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-26 04:38:33,974 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-26 04:39:02,271 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-26 04:39:02,271 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-26 04:40:08,007 INFO Nc coversion for t_2m has been finished

scripts.loaders 2023-10-26 04:40:08,007 INFO Nc coversion for tmax_2m ..
scripts.loaders 2023-10-26 04:41:12,275 INFO Nc coversion for tmax_2m has been finished

scripts.loaders 2023-10-26 04:41:12,276 INFO Nc coversion for tmin_2m ..
scripts.loaders 2023-10-26 04:42:17,086 INFO Nc coversion for tmin_2m has been finished

scripts.loaders 2023-10-26 04:42:17,086 INFO Nc coversion for tot_prec ..
scripts.loaders 2023-10-26 04:43:21,894 INFO Nc coversion for tot_prec has been finished

scripts.loaders 2023-10-26 04:43:21,894 INFO Nc coversion for alb_rad ..
scripts.loaders 2023-10-26 04:44:27,037 INFO Nc coversion for alb_rad has been finished

scripts.loaders 2023-10-26 04:44:27,037 INFO Nc aggregation for t_2m ..
scripts.loaders 2023-10-26 04:44:33,518 INFO Nc aggregation for t_2m has been finished

scripts.loaders 2023-10-26 04:44:33,518 INFO Nc aggregation for tmax_2m ..
scripts.loaders 2023-10-26 04:44:36,929 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-26 04:44:36,930 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-26 04:44:40,231 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-26 04:44:40,231 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-26 04:44:43,092 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-26 04:44:43,093 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-26 04:44:46,379 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-26 04:44:48,114 INFO 
###########################################################
###########################################################

Data for 20231026 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-27 04:20:00,002 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-27 04:20:00,002 INFO Variable t_2m is downloading ..
scripts.loaders 2023-10-27 04:23:01,989 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-27 04:23:01,989 INFO Variable t_2m has been downloaded

scripts.loaders 2023-10-27 04:23:01,990 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-27 04:23:01,990 INFO Variable tmax_2m is downloading ..
scripts.loaders 2023-10-27 04:25:40,831 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-27 04:25:40,831 INFO Variable tmax_2m has been downloaded

scripts.loaders 2023-10-27 04:25:40,832 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-27 04:25:40,832 INFO Variable tmin_2m is downloading ..
scripts.loaders 2023-10-27 04:28:29,906 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-27 04:28:29,906 INFO Variable tmin_2m has been downloaded

scripts.loaders 2023-10-27 04:28:29,907 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-27 04:28:29,907 INFO Variable tot_prec is downloading ..
scripts.loaders 2023-10-27 04:32:37,197 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-27 04:32:37,197 INFO Variable tot_prec has been downloaded

scripts.loaders 2023-10-27 04:32:37,198 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-27 04:32:37,198 INFO Variable alb_rad is downloading ..
scripts.loaders 2023-10-27 04:35:03,284 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-27 04:35:03,284 INFO Variable alb_rad has been downloaded

scripts.loaders 2023-10-27 04:35:03,286 INFO Unarchive t_2m ..
scripts.loaders 2023-10-27 04:35:03,286 INFO Unarchive t_2m ..
scripts.loaders 2023-10-27 04:35:35,968 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-27 04:35:35,968 INFO Unarchive for t_2m has been finished

scripts.loaders 2023-10-27 04:35:35,968 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-27 04:35:35,968 INFO Unarchive tmax_2m ..
scripts.loaders 2023-10-27 04:36:08,612 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-27 04:36:08,612 INFO Unarchive for tmax_2m has been finished

scripts.loaders 2023-10-27 04:36:08,613 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-27 04:36:08,613 INFO Unarchive tmin_2m ..
scripts.loaders 2023-10-27 04:36:41,322 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-27 04:36:41,322 INFO Unarchive for tmin_2m has been finished

scripts.loaders 2023-10-27 04:36:41,322 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-27 04:36:41,322 INFO Unarchive tot_prec ..
scripts.loaders 2023-10-27 04:37:06,817 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-27 04:37:06,817 INFO Unarchive for tot_prec has been finished

scripts.loaders 2023-10-27 04:37:06,817 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-27 04:37:06,817 INFO Unarchive alb_rad ..
scripts.loaders 2023-10-27 04:37:34,696 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-27 04:37:34,696 INFO Unarchive for alb_rad has been finished

scripts.loaders 2023-10-27 04:37:34,696 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-27 04:37:34,696 INFO Nc coversion for t_2m ..
scripts.loaders 2023-10-27 04:38:47,256 INFO Nc coversion for t_2m has been finished

scripts.loaders 2023-10-27 04:38:47,256 INFO Nc coversion for t_2m has been finished

