Датасет,era5 t макс.,era5 t макс.,era5 t мин.,era5 t мин.,era5_land t макс.,era5_land t макс.,era5_land t мин.,era5_land t мин.
"Интервал, дней",1,10,1,10,1,10,1,10
"∆, °",1.0881734388817887,10.878821107543892,-0.23730455723272412,-2.371988042603183,1.463675705944156,14.633085820037405,-0.8753624024494246,-8.751043410277031
r,0.9878572476368437,0.9971604826281094,0.9731745886411691,0.9951505817269375,0.987187017159888,0.9964141142636069,0.9710369488963869,0.9928151005614259
