Датасет,era5,era5,era5,era5_land,era5_land,era5_land,gpcp,gpcp,gpcp,mswep,mswep,mswep
"Интервал, дней",1,10,30,1,10,30,1,10,30,1,10,30
"∆, мм",-0.2519909129392021,-2.5192880321772213,-7.52746453404785,-0.7133446983479451,-7.131643977224533,-21.30714234943663,-0.2603942806229801,-2.6032622065549633,-7.778081231575396,-0.05114389937090772,-0.5112031808605603,-1.5274402961410756
r,0.5736789493015723,0.817307484355555,0.8560784211159239,0.6528163488454831,0.8079306605978008,0.8488812395187632,0.34542123530095653,0.7121771157334209,0.8395732880019597,0.6836486988294197,0.94196157726,0.9620657446814108
