,NSE,KGE,r,alpha,beta,RMSE,delta
7039,0.6733895838260651,0.42991531404840655,0.89633054,1.4987214,1.2559808,0.32858217,9.874373
70399,0.8109756112098694,0.9033240362284108,0.90761626,0.9802727,0.97944957,1.1214526,-3.872062
70410,0.8266063034534454,0.45849914724248286,0.9449703,1.256414,1.4737581,1.146381,35.08138
70414,0.8724215179681778,0.6156757781183603,0.95689106,1.1959858,1.3277748,0.9385718,24.276167
70444,0.8761447370052338,0.6265406834569776,0.9532881,1.1694701,1.3294992,1.1922914,27.295406
70459,0.8751470893621445,0.7487689670730092,0.9427879,1.0438917,1.2406602,0.7752892,16.931654
70466,0.9181444942951202,0.873902009464905,0.9596787,1.0420088,1.1118488,1.2034929,-6.32805
70486,0.9004170298576355,0.9226788787285569,0.95004874,1.010405,0.9419038,1.2503603,-142.72356
70499,0.5899040699005127,0.6865828503322192,0.7792755,1.1396371,0.8267589,2.2756705,-374.34042
70509,0.8773029372096062,0.83249618395172,0.93951184,1.1462557,1.054845,0.7742761,-5.514107
70512,0.8755021616816521,0.8081425264488264,0.9403832,1.1760728,0.95252913,0.81547004,-22.37098
70517,0.6838955879211426,0.3409564184446574,0.86638266,1.602191,1.2320579,1.3194299,-18.931652
70522,0.8046605288982391,0.475539010835207,0.93786746,1.3982434,1.3355608,1.0252084,21.583118
70531,0.8491508364677429,0.660345683191108,0.93864435,1.2317153,1.240642,0.76358545,15.686354
70533,0.8296176344156265,0.8229846814422237,0.91207635,1.1429616,0.9437343,1.0089655,-57.57172
70559,0.8311397135257721,0.5554511634556814,0.94542897,1.4343637,0.92270947,1.0848304,-62.14561
7056,0.785532221198082,0.8264746485929151,0.9028947,0.9521934,0.86436766,0.37119043,-60.883198
70566,0.553740918636322,-0.0020079108175208304,0.8647014,1.6150179,1.7794018,1.0029736,36.675632
70574,0.710908442735672,0.40533041056903973,0.88983554,1.5116267,1.2823718,0.69205374,-9.356309
70583,0.4390227794647217,-0.2382650240769617,0.7761723,1.968818,1.7379656,1.1981581,-8.956365
70586,0.6916134357452393,0.2076233907909839,0.90041125,1.4342252,1.6552795,1.1279114,33.11075
70587,0.7191895544528961,0.3777485961174911,0.8932305,1.6005305,1.1231267,0.5051342,-18.74324
70589,0.7825603187084198,0.25447042357053995,0.96020633,1.5902357,1.4537098,1.2881632,22.448051
70597,0.4247557520866394,-0.22317964969187964,0.7385945,1.9117756,1.7723347,1.5474904,-8.247275
7060,-0.19996237754821777,0.3587024653395908,0.9447447,0.5232335,0.574673,0.61744404,-80.202835
70601,0.6530393660068512,-0.056926283591735016,0.9193095,1.7958055,1.6908516,1.5080451,30.794252
70609,0.6451086103916168,0.7112227791428034,0.8240532,1.1463788,1.1760917,0.56481767,2.0437467
70614,0.3145791292190552,-0.43131353762451496,0.67802894,2.135841,1.8092333,1.1139317,-0.18477567
70617,0.8528485298156738,0.7261225715263468,0.9345578,1.2541059,1.0784624,0.80315894,-7.9950113
7066,0.6308688223361969,0.7129006019540978,0.79709524,1.189197,1.0738934,0.5552429,-15.589691
7072,0.7442407011985779,0.7797558532036761,0.8708453,1.1146024,1.1367217,0.3809614,5.6324515
7076,0.8044049739837646,0.6216625571079823,0.9269207,1.2873772,1.2349744,0.2857513,3.7774343
7080,0.7900164872407913,0.819144571509437,0.8976875,1.0692798,1.1320649,0.37347102,1.6543977
