gauge_id,NSE,day,static,encoder,decoder
6089,-0.9161684693548093,10,ele_mt_sav,q_mm_day,t_min_e5l
7152,0.9167686428825473,1,ele_mt_sav,q_mm_day,t_min_e5l
9547,0.3947436463458939,4,ire_pc_sse,q_mm_day,t_min_e5l
8288,0.8337743205474433,1,prm_pc_sse,q_mm_day,prcp_e5l
2010,0.9768375135243745,2,slp_dg_sav,q_mm_day,t_min_e5l
76673,0.7256718670815768,39,lkv_mc_usu,q_mm_day,t_min_e5l
6407,0.5044617614788792,365,ire_pc_sse,q_mm_day,t_max_e5l
71277,0.715694371118685,1,inu_pc_ult,t_min_e5l,prcp_e5l
70583,0.646933091782186,174,ws_area,prcp_e5l,t_min_e5l
11370,0.6720262257763168,137,inu_pc_ult,prcp_e5l,t_min_e5l
11487,0.7097621633424045,1,ws_area,q_mm_day,prcp_e5l
75297,0.21837697996149996,205,urb_pc_sse,t_max_e5l,t_min_e5l
10701,0.5700782251837856,133,gwt_cm_sav,prcp_e5l,prcp_e5l
9216,0.9069595905713552,1,sgr_dk_sav,t_min_e5l,t_max_e5l
5453,0.8216252182859406,1,kar_pc_sse,q_mm_day,prcp_e5l
76099,0.6712766268422996,1,slt_pc_sav,q_mm_day,t_min_e5l
83350,0.7712869644453688,160,for_pc_sse,t_max_e5l,prcp_e5l
5250,0.9109830517499415,1,ele_mt_sav,q_mm_day,prcp_e5l
7020,0.9633321890404787,154,slp_dg_sav,q_mm_day,t_min_e5l
3003,0.8805292815437731,181,gwt_cm_sav,t_min_e5l,t_min_e5l
77250,0.7270235308237519,305,ele_mt_sav,prcp_e5l,prcp_e5l
2106,0.8385752532236714,202,sgr_dk_sav,q_mm_day,t_min_e5l
6424,0.9121015435488945,365,inu_pc_ult,q_mm_day,t_min_e5l
3073,0.7517591869049539,365,ele_mt_sav,q_mm_day,t_max_e5l
5736,0.5186783666308126,290,lka_pc_use,t_max_e5l,t_min_e5l
77397,0.45441300591487377,359,slp_dg_sav,q_mm_day,prcp_e5l
76417,0.7628506908653867,224,pst_pc_sse,q_mm_day,t_min_e5l
5311,0.857205394873026,169,lkv_mc_usu,t_max_e5l,t_min_e5l
5292,0.7856292419938538,1,pst_pc_sse,q_mm_day,t_max_e5l
70589,0.4816660048823401,4,lkv_mc_usu,q_mm_day,t_max_e5l
70566,0.6887554121608485,7,for_pc_sse,q_mm_day,t_max_e5l
6345,0.26749015957767563,365,ele_mt_sav,prcp_e5l,t_max_e5l
77146,0.3844975468446301,1,lka_pc_use,q_mm_day,prcp_e5l
10198,0.5288704462396401,277,lka_pc_use,prcp_e5l,prcp_e5l
80405,0.8622493615583033,93,snd_pc_sav,t_max_e5l,t_max_e5l
3234,0.5962808798820672,1,ele_mt_sav,q_mm_day,prcp_e5l
8410,0.7720840950038597,193,ire_pc_sse,q_mm_day,t_max_e5l
6443,0.8014766921394398,176,lka_pc_use,t_max_e5l,t_min_e5l
7076,0.9611877282393902,132,sgr_dk_sav,q_mm_day,t_min_e5l
77329,0.8510469265641818,2,lkv_mc_usu,q_mm_day,t_min_e5l
10394,0.7545512098670015,107,pst_pc_sse,prcp_e5l,t_min_e5l
10416,0.6935371193536805,194,for_pc_sse,q_mm_day,t_max_e5l
10240,0.7631182118527402,1,ele_mt_sav,q_mm_day,t_min_e5l
75491,0.7013347436106039,179,ele_mt_sav,q_mm_day,t_min_e5l
76159,0.48905299903789123,5,inu_pc_ult,t_max_e5l,t_max_e5l
10221,0.7256227776586337,142,urb_pc_sse,q_mm_day,t_min_e5l
4027,0.7678305057799113,173,rev_mc_usu,prcp_e5l,t_min_e5l
77336,-10.794215783533392,192,crp_pc_sse,t_max_e5l,t_min_e5l
8254,0.925459852594071,1,crp_pc_sse,q_mm_day,t_max_e5l
5072,0.6605014935411024,189,for_pc_sse,t_max_e5l,t_max_e5l
72481,0.1276882242962759,222,sgr_dk_sav,q_mm_day,t_max_e5l
6411,0.5847957857857531,98,urb_pc_sse,prcp_e5l,t_min_e5l
70522,0.9159373674328608,351,kar_pc_sse,q_mm_day,t_min_e5l
8095,0.7715087094663746,6,ele_mt_sav,q_mm_day,t_max_e5l
75290,0.2421554277870348,189,crp_pc_sse,t_min_e5l,t_max_e5l
76661,0.5681014110072786,1,ire_pc_sse,t_min_e5l,t_min_e5l
83174,0.824835498014381,1,ws_area,prcp_e5l,prcp_e5l
10075,0.8845039945289964,1,for_pc_sse,prcp_e5l,t_min_e5l
7172,0.6866337268593563,166,slt_pc_sav,t_max_e5l,t_min_e5l
72566,0.7362832815592809,7,lka_pc_use,q_mm_day,t_max_e5l
70597,0.8523454410727297,98,for_pc_sse,prcp_e5l,prcp_e5l
10554,0.6640101589787863,3,prm_pc_sse,t_max_e5l,prcp_e5l
75254,0.8363476614676518,102,slt_pc_sav,q_mm_day,prcp_e5l
83063,0.9429602671082167,1,pst_pc_sse,q_mm_day,t_max_e5l
5074,0.7812024432851942,14,crp_pc_sse,q_mm_day,t_min_e5l
3074,0.8492517430934056,42,sgr_dk_sav,q_mm_day,prcp_e5l
72577,0.9240317778542922,1,rev_mc_usu,q_mm_day,prcp_e5l
9329,0.6886049127167317,10,lkv_mc_usu,q_mm_day,prcp_e5l
75631,-0.9479090958768692,1,slt_pc_sav,q_mm_day,t_max_e5l
48090,0.7502338082168677,10,snd_pc_sav,t_max_e5l,t_min_e5l
83369,0.5497802213747172,365,ws_area,q_mm_day,t_max_e5l
19154,0.8069112243499602,1,sgr_dk_sav,q_mm_day,t_max_e5l
75463,0.41835755299969934,1,for_pc_sse,q_mm_day,t_max_e5l
78393,0.9465255104640714,365,sgr_dk_sav,t_max_e5l,t_max_e5l
8374,0.7491195760807576,146,kar_pc_sse,q_mm_day,prcp_e5l
76165,0.822916814656688,1,lkv_mc_usu,q_mm_day,t_min_e5l
3083,0.8863348065592259,8,ws_area,q_mm_day,t_max_e5l
5507,0.6259214265573798,365,kar_pc_sse,q_mm_day,t_min_e5l
9166,0.8665982299098541,1,slp_dg_sav,q_mm_day,prcp_e5l
8347,0.5759157240652863,1,ele_mt_sav,t_max_e5l,t_max_e5l
76275,0.796667768177112,358,gwt_cm_sav,prcp_e5l,t_min_e5l
76499,-0.553065024261715,151,ws_area,t_max_e5l,t_min_e5l
8188,0.7721701949493083,192,sgr_dk_sav,t_max_e5l,t_min_e5l
83340,0.8139833329976766,6,rev_mc_usu,q_mm_day,t_max_e5l
72162,0.6814944095010551,1,urb_pc_sse,q_mm_day,prcp_e5l
5254,0.8539545417617542,365,snd_pc_sav,t_max_e5l,t_min_e5l
5580,0.3803988510442169,361,for_pc_sse,prcp_e5l,t_max_e5l
10475,0.9338861589975254,365,ws_area,t_min_e5l,t_min_e5l
10453,0.8841798704922161,1,sgr_dk_sav,q_mm_day,prcp_e5l
77407,-1.6240074659333685,168,gwt_cm_sav,t_max_e5l,t_max_e5l
10110,0.7772812863991265,164,kar_pc_sse,q_mm_day,t_min_e5l
49054,0.9601699151356483,1,prm_pc_sse,q_mm_day,t_min_e5l
75615,0.025420695138538396,1,pst_pc_sse,t_min_e5l,t_max_e5l
78144,0.7397843657713408,259,slt_pc_sav,q_mm_day,t_max_e5l
4102,0.6244492864872291,1,rev_mc_usu,q_mm_day,t_max_e5l
6076,0.6210981494084145,196,cly_pc_sav,prcp_e5l,prcp_e5l
78345,0.8261920251786817,227,gwt_cm_sav,q_mm_day,prcp_e5l
75427,0.7286663577906567,1,cly_pc_sav,q_mm_day,t_min_e5l
11639,0.6352564841640364,153,ire_pc_sse,t_min_e5l,t_min_e5l
4116,0.5726232487905853,365,snd_pc_sav,q_mm_day,prcp_e5l
5148,0.4313610628014417,363,sgr_dk_sav,q_mm_day,prcp_e5l
77246,0.3032197011640989,10,ele_mt_sav,q_mm_day,t_max_e5l
80197,0.8445608982807582,141,prm_pc_sse,q_mm_day,t_max_e5l
10223,0.6157736816607056,186,prm_pc_sse,t_max_e5l,t_max_e5l
9417,0.9394431883166284,217,lka_pc_use,q_mm_day,t_max_e5l
4160,0.6162445498677235,199,cly_pc_sav,t_min_e5l,t_min_e5l
71104,0.7289688794730671,365,ele_mt_sav,q_mm_day,t_min_e5l
10292,0.7084362989680413,143,ele_mt_sav,q_mm_day,t_min_e5l
76176,0.5600889308818109,1,sgr_dk_sav,t_max_e5l,prcp_e5l
70246,0.8179060269257709,1,sgr_dk_sav,q_mm_day,prcp_e5l
5597,0.4852722363358538,7,inu_pc_ult,prcp_e5l,prcp_e5l
9372,0.8981985803247301,57,lkv_mc_usu,q_mm_day,t_min_e5l
9563,0.9296463194101584,1,inu_pc_ult,q_mm_day,t_max_e5l
10571,0.8799188400791801,345,prm_pc_sse,t_max_e5l,t_min_e5l
76461,0.7841122021643059,1,slp_dg_sav,t_max_e5l,t_min_e5l
9217,0.8691618937438301,1,slt_pc_sav,q_mm_day,t_min_e5l
76130,0.7561960016905065,236,kar_pc_sse,prcp_e5l,t_min_e5l
72761,0.6795477267771985,2,sgr_dk_sav,t_min_e5l,t_min_e5l
5211,0.8702792520844442,365,lkv_mc_usu,q_mm_day,prcp_e5l
83314,0.8925629383905941,291,urb_pc_sse,q_mm_day,t_min_e5l
82046,0.5987022395103452,365,ele_mt_sav,prcp_e5l,prcp_e5l
11335,0.8904294338976476,1,crp_pc_sse,q_mm_day,t_min_e5l
76533,0.3350030279375714,2,ire_pc_sse,q_mm_day,t_max_e5l
49052,0.7326841677251132,1,ire_pc_sse,prcp_e5l,t_max_e5l
78141,0.8031025674313057,1,crp_pc_sse,q_mm_day,t_min_e5l
7060,0.8084902538093255,1,lka_pc_use,prcp_e5l,t_max_e5l
75664,0.3139435259875748,286,lkv_mc_usu,q_mm_day,prcp_e5l
3156,0.8901648716075209,35,ws_area,q_mm_day,t_max_e5l
10133,0.7382446418193085,1,kar_pc_sse,prcp_e5l,t_min_e5l
76500,-3.932615965814616,1,snd_pc_sav,q_mm_day,t_max_e5l
7130,0.8162856546407935,150,crp_pc_sse,t_max_e5l,t_min_e5l
1534,0.7906032695547566,205,crp_pc_sse,q_mm_day,t_max_e5l
76701,0.7869497248251146,365,slt_pc_sav,prcp_e5l,t_max_e5l
72661,0.8802319481368468,13,ele_mt_sav,t_max_e5l,t_max_e5l
10073,0.9263646507443575,362,lka_pc_use,t_min_e5l,t_min_e5l
70382,0.8501990336295628,181,lka_pc_use,t_max_e5l,t_min_e5l
70212,0.6750607197205818,159,lka_pc_use,t_min_e5l,t_max_e5l
78092,0.028982206379914,365,ele_mt_sav,q_mm_day,prcp_e5l
7066,0.6901302685391297,212,gwt_cm_sav,q_mm_day,t_max_e5l
2027,0.9021480134023838,193,slt_pc_sav,t_max_e5l,t_max_e5l
78504,0.5446826673001307,1,rev_mc_usu,prcp_e5l,prcp_e5l
10059,0.48403070211327537,364,pst_pc_sse,prcp_e5l,t_max_e5l
19159,0.8772626229003924,134,urb_pc_sse,q_mm_day,t_min_e5l
11620,0.7156340661077331,1,kar_pc_sse,t_max_e5l,t_max_e5l
8375,0.8523220611341054,1,ire_pc_sse,t_max_e5l,t_min_e5l
19049,0.6916660639192883,164,pst_pc_sse,prcp_e5l,prcp_e5l
11357,0.7773376572614057,17,slp_dg_sav,t_min_e5l,t_min_e5l
