gauge_id,NSE,day,encoder,decoder
10620,0.6531795222235777,1,q_mm_day,prcp_e5l
4197,-22617.03749747336,365,q_mm_day,prcp_e5l
8306,-42.88233223710918,1,q_mm_day,prcp_e5l
78614,0.7497676264848976,2,q_mm_day,prcp_e5l
5287,0.8172639939079002,365,q_mm_day,prcp_e5l
2198,0.8330705824705285,1,q_mm_day,prcp_e5l
10566,0.8370897560453574,36,q_mm_day,prcp_e5l
77112,0.5697281769689957,1,q_mm_day,prcp_e5l
76646,0.624185410503808,1,q_mm_day,prcp_e5l
78275,0.841321609401421,1,q_mm_day,prcp_e5l
75033,0.5861634526853455,1,q_mm_day,prcp_e5l
71199,-1203.2419094868933,360,q_mm_day,prcp_e5l
75236,0.5868005297487905,365,q_mm_day,prcp_e5l
11637,0.9137528207305049,365,q_mm_day,prcp_e5l
76489,0.5432477632815276,365,q_mm_day,prcp_e5l
70175,0.5922257346576552,1,q_mm_day,prcp_e5l
8379,0.7329581867621272,1,q_mm_day,prcp_e5l
70242,0.6830436935985091,1,q_mm_day,prcp_e5l
82060,-190.7707329016187,1,q_mm_day,prcp_e5l
7029,0.5596519483588243,1,q_mm_day,prcp_e5l
78004,0.8563450257062272,1,q_mm_day,prcp_e5l
76324,0.49947896546557713,362,q_mm_day,prcp_e5l
12115,0.8505531115319305,365,q_mm_day,prcp_e5l
2128,0.8037334316020153,365,q_mm_day,prcp_e5l
7022,-13917.712613912909,365,q_mm_day,prcp_e5l
75520,0.8290621491327566,1,q_mm_day,prcp_e5l
72623,0.7246494681073721,365,q_mm_day,prcp_e5l
72007,0.7537718090738125,365,q_mm_day,prcp_e5l
76317,0.7339877231998533,1,q_mm_day,prcp_e5l
2164,0.7713732324339981,363,q_mm_day,prcp_e5l
10202,0.7344214312113423,1,q_mm_day,prcp_e5l
4105,0.6477396425674584,1,q_mm_day,prcp_e5l
4226,0.7040057655427485,2,q_mm_day,prcp_e5l
78499,0.860252448060083,2,q_mm_day,prcp_e5l
76470,-125.23015742291007,363,q_mm_day,prcp_e5l
9370,0.7100234559890598,1,q_mm_day,prcp_e5l
5055,0.710657371991642,363,q_mm_day,prcp_e5l
77156,0.6576380453303127,1,q_mm_day,prcp_e5l
76466,0.6675204493123913,364,q_mm_day,prcp_e5l
7039,0.8600239270318216,5,q_mm_day,prcp_e5l
78512,0.8865940274720743,365,q_mm_day,prcp_e5l
2026,-731.00796467847,1,q_mm_day,prcp_e5l
70617,0.6120039237760272,1,q_mm_day,prcp_e5l
7174,0.5762600175255748,365,q_mm_day,prcp_e5l
3068,0.8269612932887651,365,q_mm_day,prcp_e5l
84447,-2469.624369283221,1,q_mm_day,prcp_e5l
8230,-49.90415117299603,344,q_mm_day,prcp_e5l
19153,0.6505009182525507,1,q_mm_day,prcp_e5l
8162,0.6268500094458972,365,q_mm_day,prcp_e5l
84019,0.26854956206052627,1,q_mm_day,prcp_e5l
77217,0.5333181831970573,2,q_mm_day,prcp_e5l
72588,0.7973837636310694,1,q_mm_day,prcp_e5l
83348,-148.21224725142915,1,q_mm_day,prcp_e5l
11379,0.8342723045138656,1,q_mm_day,prcp_e5l
10120,0.8112693464344691,364,q_mm_day,prcp_e5l
77298,0.7365131550840536,1,q_mm_day,prcp_e5l
78055,0.8525947627904995,1,q_mm_day,prcp_e5l
72113,0.7748532671531763,3,q_mm_day,prcp_e5l
5555,0.7534327705067542,363,q_mm_day,prcp_e5l
