date,level
2023-02-19,-36.0
2023-02-20,-36.0
2023-02-21,-36.0
2023-02-22,-37.0
2023-02-23,-38.0
2023-02-24,-38.0
2023-02-25,-36.0
2023-02-26,-36.0
2023-02-27,-35.0
