date,level
2023-02-19,177.0
2023-02-20,162.0
2023-02-21,166.0
2023-02-22,169.0
2023-02-23,146.0
2023-02-24,138.0
2023-02-25,136.0
2023-02-26,136.0
2023-02-27,144.0
