date,level
2023-02-19,47.0
2023-02-20,72.0
2023-02-21,110.0
2023-02-22,135.0
2023-02-23,146.0
2023-02-24,153.0
2023-02-25,150.0
2023-02-26,130.0
2023-02-27,43.0
