date,level
2023-02-19,-18.0
2023-02-20,-22.0
2023-02-21,-21.0
2023-02-22,-27.0
2023-02-23,-23.0
2023-02-24,-23.0
2023-02-25,-24.0
2023-02-26,-25.0
2023-02-27,-17.0
