date,level
2023-02-19,94.0
2023-02-20,94.0
2023-02-21,93.0
2023-02-22,88.0
2023-02-23,81.0
2023-02-24,77.0
2023-02-25,73.0
2023-02-26,71.0
2023-02-27,72.0
