date,level
2023-02-19,46.0
2023-02-20,46.0
2023-02-21,46.0
2023-02-22,46.0
2023-02-23,48.0
2023-02-24,48.0
2023-02-25,48.0
2023-02-26,48.0
2023-02-27,50.0
