gauge_id,NSE
12554,-5.410992903230755
5746,0.65496876196853
8376,-8.900139325700778
3159,0.4903067027736378
74438,-0.2312170051722835
84245,-0.0313621583672061
10015,0.1488203530553734
78519,-4.731798002303846
3293,0.3641762098520106
49128,0.0025132039268851
12244,0.2265586837059269
76461,0.3955660890487474
75296,0.0489124176571804
12383,0.0692287826191311
75303,0.0253306948042539
3407,0.5195948941477704
70444,0.5891895257614495
49127,0.3707752597927121
5597,0.5260725256747296
8091,-0.465825915287599
4197,-13.939422156984788
10549,0.1552049306610061
4175,0.5648581177523904
76533,-1.3432369574389045
7148,0.1682056432558509
10205,0.3925649854692778
5211,0.3307380240944425
10369,0.423803718490757
4160,0.4542597584768481
10411,0.6436111310511807
10184,0.6613174606443253
78011,0.1745057972217775
48056,0.0130542367774261
78334,-0.9384523070179543
7152,-0.0884972392874396
76685,0.6327031760388835
76270,0.5537085151902433
8162,0.6336919523958584
5555,0.3893780424062969
48021,0.0312419425549689
76500,-0.1482124270994109
9127,0.5342041862762071
10266,0.5529076854666255
76486,0.0230959529928954
78021,0.0721946174895984
82060,0.2222265938783509
75518,0.2301012508790368
78165,0.2577868372784511
4141,0.5016321079602867
70102,-0.0021860752409579
80405,-0.0775902938366741
72761,0.4382394160738549
7156,-0.1232068738654699
4181,0.3163049705169843
72753,0.3173235053968669
78163,0.1049316016573888
75074,0.0671266094537257
70509,0.4871661832748478
5552,0.5064921420739377
5611,-0.0238893053786815
6414,0.0754035673965276
5613,0.2735929903829566
75607,0.131504492733956
48079,0.0778184057385048
76367,0.3766309006060389
75382,-0.0015014891686853
75280,0.246766739925031
76652,0.1328388410013374
10133,0.3461710931850827
9164,0.7192651109582797
5148,0.3726783398929614
11357,0.2558567121257828
19185,-0.0499687370392332
8403,0.3606010559675162
72004,-0.0048822060083091
76141,0.3675251955936333
77156,0.1138469208880857
7015,0.5578910298097471
7080,0.5736326076480008
70339,0.5694392619986755
75658,-0.1540732939444906
2229,0.2765873968279115
5736,0.1420425553423345
11502,0.337437272066397
12498,0.5591056264780205
11622,0.5520317718383111
77166,0.006917607182824
6077,0.6357679308338361
5652,0.3503919516009429
76363,0.4786616493383057
2027,0.6210538378098978
7041,0.3719087059848155
7087,0.7112635418714377
83372,0.3175456518065305
5208,0.2641477028200125
8339,0.5691655798993416
10453,0.4310165433523392
12315,0.1855973236774509
75627,0.0577476010750965
10122,0.1467903682819372
5604,0.3453297882969596
72588,0.355911286744731
84213,0.3604017565638024
76423,0.4577816576070397
75394,-0.076726657940171
10058,
4145,0.4669318653704087
82039,0.2872919634253026
3135,0.6594371045415284
72508,0.5562598553528391
9345,0.0118048542560348
75491,0.1253882916816562
3225,0.6747854468847861
72055,0.4133915624326184
79051,0.0733443925402544
84449,-0.0641746821577886
3087,0.6844349705242384
6295,0.5223651512945015
48088,0.2997952128456792
10414,0.555074824082056
49054,0.270570396133008
72610,0.3312558144541152
48030,0.3725028604316356
75643,-0.1371358389620336
3102,0.777051233451158
11639,0.5977185460431993
