"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"12136","НОВОАЛЕКСЕЕВСКОЕ","56.85","60.15","2023-02-25 08:00:00","70.0","0.0","70.0","","","","","","","2023-02-25 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111200272","Р.РЕШЕТКА","","3366"
"12244","ТЮМЕНЬ (ГП ПРИ ТЮМЕНЬ ЦГМС)","57.17","65.53","2023-02-21 08:00:00","-49.0","0.0","","","","","","","","2023-02-25 04:00:00.0","","","","","","","","3367"
"12244","ТЮМЕНЬ (ГП ПРИ ТЮМЕНЬ ЦГМС)","57.17","65.53","2023-02-22 08:00:00","-48.0","1.0","","","","","","","","2023-02-25 04:00:00.0","","","","","","","","3368"
"12244","ТЮМЕНЬ (ГП ПРИ ТЮМЕНЬ ЦГМС)","57.17","65.53","2023-02-23 08:00:00","-46.0","2.0","","","","","","","","2023-02-25 04:00:00.0","","","","","","","","3369"
"12244","ТЮМЕНЬ (ГП ПРИ ТЮМЕНЬ ЦГМС)","57.17","65.53","2023-02-24 08:00:00","-44.0","2.0","","","","","","","","2023-02-25 04:00:00.0","","","","","","","","3370"
"75912","УГЛИЧ","57.53","38.3","2023-02-23 08:00:00","727.0","-7.0","","","","","","","","2023-02-23 06:00:00.0","","","","","","","","3978"
"76364","КРАСНОУФИМСК","56.61","57.78","2023-02-25 08:00:00","-97.0","1.0","-98.0","","","37","","","6","2023-02-27 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111102010","Р.УФА","","3372"
"76405","ГАЙНЫ","56.71","58.03","2023-02-25 08:00:00","87.0","0.0","87.0","","","","","","","2023-02-25 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111102101","Р.БИСЕРТЬ","","3373"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-27 08:00:00","141.0","1.0","140.0","","","","","","","2023-02-27 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3374"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-26 08:00:00","140.0","0.0","140.0","","","","","","","2023-02-26 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3375"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-24 08:00:00","141.0","-1.0","141.0","","","","","","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3376"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-24 08:00:00","141.0","-1.0","141.0","","","","","","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3377"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-23 08:00:00","142.0","0.0","142.0","","","","","","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3378"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-23 08:00:00","142.0","0.0","142.0","","","","","","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3379"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-25 08:00:00","140.0","-1.0","141.0","","","","","","","2023-02-25 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3380"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-22 08:00:00","142.0","1.0","141.0","","","","","","","2023-02-22 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3381"
"76136","ОЩЕПКОВО","59.51","56.35","2023-02-21 08:00:00","141.0","0.0","141.0","","","","","","","2023-02-21 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100750","Р.КОНДАС","","3382"
